day,year,day_of_year,x,y,distance_km,water_l,snow_l,wet_organic_kg,dry_organic_kg,electricity_kwh,heat_kwh,mass_kg,water_deficit_hours,organic_deficit_hours,thermal_deficit_hours,niche_count,mode,hibernation_reason,hibernation_hours,max_ledger_error,actions
18,1,18,7,11,21.055939,3127.436768,0,1507.301636,165.519852,276.889648,0,23835.630859,0,0,0,4,Active,None,0,0.000977,"harvest dry biomass|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Сборщик сухой массы|grow Органическое хранилище|grow Биореактор / топка"
19,1,19,11,11,23.806913,2974.263916,0,1507.301636,97.044403,277.469116,0.242882,23612.783203,0,0,0,4,Active,None,0,0.000977,"harvest dry biomass|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance"
20,1,20,9,8,26.511078,2822.280029,0,1507.301636,125.042671,279.111633,0,23487.597656,0,0,0,4,Active,None,0,0.000977,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems"
21,1,21,9,8,30.132397,3512.625244,0,1507.301636,153.786255,273.651703,0.844796,24205.488281,0,0,0,4,Active,None,0,0.000977,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance|grow Парус|grow Солнечный лист|grow Резервуар|grow Органическое хранилище|grow Каркас"
22,1,22,10,5,32.725742,3356.634766,0,1507.301636,80.708488,279.084076,0,23975.21875,0,0,0,4,Active,None,0,0.000977,"harvest dry biomass|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance"
23,1,23,9,8,35.09745,3197.755371,0,1507.301636,107.418259,279.111603,0,23844.248047,0,0,0,4,Active,None,0,0.000977,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems"
24,1,24,9,8,38.740143,3034.280518,0,1507.301636,136.760513,276.758118,0.347748,23720.914063,0,0,0,4,Active,None,0,0.000977,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance|grow Парус|grow Солнечный лист|grow Резервуар|grow Органическое хранилище|grow Каркас"
25,1,25,12,8,41.726212,2871.370361,0,1507.301636,166.345352,276.86261,0,23550.832031,0,0,0,4,Active,None,0,0.000977,"harvest dry biomass|capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Сборщик сухой массы|grow Органическое хранилище|grow Биореактор / топка"
26,1,26,7,12,45.715569,3410.789307,0,1507.301636,92.909767,277.059662,0.321271,24032.197266,0,0,0,4,Active,None,0,0.000977,"harvest dry biomass|capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance"
27,1,27,9,8,47.951637,3232.494629,0,1507.301636,120.901634,279.087555,0,23899.896484,0,0,0,4,Active,None,0,0.000977,"capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems"
