year,day,elapsed_hours,region_x,region_y,temperature_c,snow_mm,surface_water_mean_mm,surface_water_max_mm,flooded_fraction,root_water_mm,water_stress_fraction,live_biomass_gm2,dust_gm2,burning_fraction,burn_scar
1,15,360,0,0,-10.330122947692871,28.67146110534668,0.0012476857518777251,0.044379450380802155,0,55.993942260742188,0,27.750045776367188,0.029198421165347099,0,0
1,15,360,1,0,-10.382492065429688,19.865467071533203,0.0011606845073401928,0.017527239397168159,0,55.745712280273438,0,28.110816955566406,0.093550316989421844,0,0
1,15,360,2,0,-10.219478607177734,18.998517990112305,0.0016462201019749045,0.021393913775682449,0,54.947242736816406,0,28.042551040649414,0.074816495180130005,0,0
1,15,360,3,0,-10.047369956970215,18.387346267700195,0.0023464697878807783,0.030498640611767769,0,58.667716979980469,0,28.854219436645508,0.026842592284083366,0,0
1,15,360,4,0,-10.08774471282959,19.196426391601562,0.0039640883915126324,0.035820525139570236,0,58.921382904052734,0,28.971651077270508,0.048407986760139465,0,0
1,15,360,5,0,-9.9775314331054688,17.283935546875,0.0087769385427236557,0.042715653777122498,0,53.952102661132812,0,27.0579833984375,0.050756778568029404,0,0
1,15,360,6,0,-9.9372501373291016,15.671492576599121,0.014622638933360577,0.0474545918405056,0,51.271583557128906,0,25.454738616943359,0.050440426915884018,0,0
1,15,360,7,0,-9.78619384765625,16.350496292114258,0.0097581511363387108,0.038659095764160156,0,52.795997619628906,0,24.534025192260742,0.035736571997404099,0,0
1,15,360,0,1,-10.508570671081543,31.405012130737305,0.00032346873194910586,0.0059214979410171509,0,51.638084411621094,0,26.094905853271484,0.062852449715137482,0,0
1,15,360,1,1,-10.682357788085938,12.074856758117676,0.0012992564588785172,0.024229820817708969,0,54.106864929199219,0,26.565986633300781,0.38585987687110901,0,0
1,15,360,2,1,-10.744861602783203,12.678082466125488,0.0038192446809262037,0.023397674784064293,0,51.408725738525391,0,26.536308288574219,0.76796501874923706,0,0
