file	phase	waypoint	world_x_m	world_z_m	hour	macro_hour	surface_temp_c	air_temp_c	wind_x_ms	wind_z_ms	humidity_mm	precipitation_mm_h	surface_water_mm	root_water_mm	snow_mm	live_biomass_g_m2	dry_biomass_g_m2	crust_fraction	dust_g_m2	burn_fraction	Elevation	Slope	Aspect	FaultInfluence	RockHardness	DepressionStorage	Drainage	Catchments	SoilDepth	SandFraction	SiltFraction	ClayFraction	Porosity	Permeability	MineralContent	SoilCompaction	SolarRadiation	SurfaceTemperature	SoilTemperature	AirTemperature	Pressure	Wind	Humidity	CloudWater	Precipitation	SurfaceWater	RootWater	Groundwater	Snow	FrozenSoil	LiveBiomass	DryBiomass	LitterBiomass	SeedBank	SoilOrganicMatter	AvailableNitrogen	PlantNitrogen	OrganicNitrogen	FireIntensity	BurnScar	LooseSediment	SurfaceCrust	Dust
waypoint-01-night.png	night	1	32	-64	0.00677	1	-5.327063	-6.118697	5.21988	0.129408	6.909326	0.00109	0	44.571495	5.927402	26.716261	24.164194	0.495856	0	0	437.056976	0.025394	2.058607	0	0.40508	0	0	122	1.565737	0.321519	0.40445	0.27403	0.375767	9.304843	0.402127	0	0	-6.841813	0.724705	-6.564953	956.843323	4.382782	5.026019	1.575395	0.141955	0	44.571495	25.323042	6.067247	0.020085	26.716261	24.164194	53.407108	0.365924	1447.77002	0.627033	0.480893	18.801256	0	0	5.174603	0.495856	0
waypoint-02-night.png	night	2	511.336182	-277.414276	0.00677	1	-6.027252	-6.515532	4.631493	-0.478103	6.643878	0.000695	0	44.466263	6.006658	26.79282	24.269587	0.495427	0	0	445.7211	0.011545	-2.632448	0	0.411622	0	0	122	1.582633	0.327467	0.399065	0.273468	0.375632	9.456081	0.401056	0	0	-6.905529	0.694551	-6.6306	955.539795	4.348572	4.997229	1.583627	0.11445	0	44.466263	25.267702	6.120615	0.023783	26.79282	24.269587	53.58054	0.366944	1452.208008	0.629278	0.482271	18.842268	0	0	5.141891	0.495427	0
waypoint-03-night.png	night	3	1024.623169	-505.944366	0.00677	1	-5.110639	-6.070074	5.510709	-0.094512	6.92871	0.001273	0	45.183823	6.185019	27.184412	24.142735	0.492575	0	0	453.281067	0.028839	0.112105	0	0.424827	0	0	122	1.605987	0.344678	0.38574	0.269582	0.3747	9.903834	0.397958	0	0	-6.870116	0.669863	-6.62752	954.534119	4.421835	5.027548	1.582304	0.152059	0	45.183823	25.676666	6.334608	0.026996	27.184412	24.142735	53.729336	0.36782	1456.015259	0.631203	0.489319	18.871586	0	0	5.075863	0.492575	0
waypoint-04-night.png	night	4	1535.542114	-733.420105	0.00677	1	-5.494239	-6.279731	5.211994	-0.301572	7.018174	0.001104	0	46.658485	6.504325	27.94475	24.000231	0.497148	0	0	467.795013	0.018088	1.402551	0	0.449033	0	0	122	1.655981	0.371602	0.350806	0.277592	0.376622	10.540885	0.393112	0	0	-6.820108	0.622146	-6.622975	952.98999	4.476901	5.111597	1.681704	0.154435	0	46.658485	26.324242	6.656708	0.033168	27.94475	24.000231	54.133331	0.370196	1466.352905	0.636431	0.503006	18.95664	0	0	4.954834	0.497148	0
waypoint-05-night.png	night	5	2048.751953	-961.915649	0.00677	1	-5.710374	-6.387914	4.947381	-0.674663	7.067748	0.001029	0	47.915588	6.704426	28.434687	23.6772	0.495204	0	0	471.359406	0.014277	-1.127333	0	0.452827	0	0	122	1.66402	0.381792	0.342978	0.27523	0.376055	10.806254	0.391278	0	0	-6.706034	0.612243	-6.555952	952.939148	4.339293	5.200336	1.764083	0.164498	0	47.915588	26.958805	6.868434	0.034668	28.434687	23.6772	54.137318	0.370219	1466.454956	0.636483	0.511824	18.948795	0	0	4.935867	0.495204	0
waypoint-06-night.png	night	6	2559.604767	-1189.361984	0.00677	1	-4.959699	-5.933972	5.621743	-0.543521	7.501888	0.001559	0	49.241943	6.798603	28.429968	22.917677	0.490872	0	0	463.112854	0.02534	-0.538542	0	0.430754	0	0	168.632828	1.618194	0.405639	0.325802	0.268559	0.374454	11.432448	0.386985	0	0	-6.503529	0.643474	-6.403561	954.469604	4.170892	5.306519	1.814441	0.206958	0	49.241943	27.690367	7.00528	0.031127	28.429968	22.917677	53.291748	0.365246	1444.818237	0.62554	0.511739	18.742214	0	0	5.046229	0.490872	0
waypoint-07-night.png	night	7	3072.49292	-1417.714508	0.00677	1	-5.160085	-5.992529	5.286516	-0.53596	7.626247	0.00167	0	51.39558	6.992181	28.892277	22.142618	0.491487	0	0	456.228088	0.024926	0.747957	0	0.413267	0	0	170.20575	1.58362	0.412083	0.317819	0.270098	0.374824	11.586625	0.385825	0	0	-6.237484	0.671279	-6.188997	956.088745	4.33603	5.478697	2.018483	0.266657	0	51.39558	28.753347	7.257775	0.028155	28.892277	22.142618	52.774151	0.362201	1431.573853	0.618842	0.520061	18.607386	0	0	5.133665	0.491487	0
waypoint-08-night.png	night	8	3582.747803	-1644.894897	0.00677	1	-5.292241	-6.095064	5.040586	-1.149516	7.322361	0.00175	0	50.842846	6.869934	28.60006	22.301458	0.497424	0	0	453.044983	0.039811	1.092716	0	0.41317	0	0	172	1.579532	0.410645	0.310497	0.278858	0.376926	11.511269	0.386084	0.000001	0	-6.291807	0.68097	-6.205276	957.598145	4.203285	5.422781	1.900054	0.281588	0	50.842846	28.425253	7.150794	0.026808	28.595394	22.300032	52.736118	0.36197	1430.554443	0.618326	0.514717	18.602991	0	0	5.134148	0.497406	0
waypoint-09-night.png	night	9	4096.69165	-1873.717468	0.00677	1	-5.156467	-5.994875	5.240508	-0.958502	7.434351	0.001615	0.019881	50.697197	6.850209	28.772629	22.587299	0.503093	0	0	454.834869	0.03373	1.212953	0	0.420593	1.000835	0	172	1.596082	0.387381	0.324818	0.287801	0.379072	10.889425	0.390271	0	0	-6.333681	0.674229	-6.23969	958.735168	4.210964	5.374064	1.85702	0.246711	0	50.717075	28.333635	7.094875	0.027577	28.772629	22.587299	53.178734	0.364581	1441.926392	0.624078	0.517907	18.708422	0	0	5.097034	0.503093	0
waypoint-09-day.png	day	9	4096.69165	-1873.717468	12.030644	13	-7.886815	-8.305247	-0.338502	-2.582771	3.339987	0.11576	0	50.762344	9.486148	28.762659	22.526423	0.501338	0	0	454.834869	0.03373	1.212953	0	0.420593	1.000835	0	172	1.596082	0.387381	0.324818	0.287801	0.379072	10.889425	0.390271	0	58.697506	-7.944609	-1.230704	-8.619714	955.178162	2.314466	3.243685	1.528	0.081533	0	50.787754	28.363899	9.539577	0.133987	28.762659	22.526423	53.249554	0.364513	1441.926392	0.624078	0.517728	18.708603	0	0	5.097034	0.501338	0
