year,stored_water_mm_per_cell,input_mm_per_cell,output_mm_per_cell,water_error,nitrogen_gm2_per_cell,nitrogen_error,temperature_c,surface_water_mm,root_water_mm,groundwater_mm,snow_mm,live_biomass_gm2,dry_biomass_gm2,available_nitrogen_gm2,plant_nitrogen_gm2,organic_nitrogen_gm2,soil_compaction,soil_depth_m,dust_gm2,non_finite
1,114.46481947973371,100.56875220321683,82.950949508274277,8.7190881043525895E-07,19.834477736148983,-4.8952631260365114E-07,-9.8375320434570312,0.1244688406586647,65.399261474609375,34.489219665527344,10.091320037841797,35.558921813964844,25.188146591186523,0.78235363960266113,0.64006060361862183,18.412063598632812,0.0024077130947262049,1.5233173370361328,0.089851498603820801,0
2,115.00722171925008,99.436514322029581,98.894574933702074,2.1390435276433721E-06,19.834471914917231,-7.830167175654391E-07,-9.8540096282958984,0.11023989319801331,64.38677978515625,35.978580474853516,10.175305366516113,39.466068267822266,28.732379913330078,0.82357394695281982,0.71038925647735596,18.300508499145508,0.004157455638051033,1.5233168601989746,0.071826845407485962,0
3,114.29165112506598,99.512090550368754,100.22828668961859,3.1802182117175086E-06,19.834470897912979,-8.3429125915703541E-07,-9.8695993423461914,0.11249426007270813,63.154048919677734,36.4150390625,10.257998466491699,39.733058929443359,29.72552490234375,0.83071452379226685,0.71519505977630615,18.28856086730957,0.0054199760779738426,1.5233162641525269,0.096299543976783752,0
4,113.52399577014148,99.58858532454974,100.35694327375984,3.9582778636468618E-06,19.834470865316689,-8.3593467395163782E-07,-9.8803071975708008,0.10042214393615723,62.221794128417969,36.517906188964844,10.327991485595703,38.460983276367188,29.206283569335938,0.83306992053985596,0.69229769706726074,18.309103012084961,0.0063159535638988018,1.5233156681060791,0.071927055716514587,0
5,113.19032025057822,99.704495959283179,100.03890057255006,4.519734281456424E-06,19.834469872526824,-8.8598839312438658E-07,-9.8874006271362305,0.10683372616767883,61.758037567138672,36.576045989990234,10.397232055664062,37.487483978271484,28.529872894287109,0.83549743890762329,0.67477470636367798,18.324197769165039,0.006950263399630785,1.5233151912689209,0.076359577476978302,0
6,113.12061892356724,99.713179738338226,99.783617675711412,4.9309298969378303E-06,19.834469295106828,-9.1510031234305851E-07,-9.8896551132202148,0.12550777196884155,61.488727569580078,36.694545745849609,10.462636947631836,36.685443878173828,27.949197769165039,0.83692246675491333,0.66033798456192017,18.337209701538086,0.0073874560184776783,1.5233145952224731,0.089218541979789734,0
7,113.34124723123387,99.838166617316347,99.618252560250312,5.2100460832667735E-06,19.834470963105559,-8.310044295678305E-07,-9.8907365798950195,0.1366872638463974,61.422245025634766,36.888313293457031,10.542451858520508,36.204998016357422,27.515073776245117,0.83712589740753174,0.65168994665145874,18.34565544128418,0.0076830890029668808,1.5233141183853149,0.07184261828660965,0
8,113.59882328938693,99.812613749603315,99.555781711756936,5.4603105223271062E-06,19.834474477451295,-6.5382083735547832E-07,-9.891087532043457,0.13419331610202789,61.414485931396484,37.08135986328125,10.618151664733887,35.354072570800781,26.879619598388672,0.83615535497665405,0.63637322187423706,18.361946105957031,0.0078843617811799049,1.5233135223388672,0.082684136927127838,0
9,113.96793024940416,99.929944524671214,99.561551649162197,5.6296012199266148E-06,19.834481459576637,-3.0180138835163469E-07,-9.889622688293457,0.13702280819416046,61.558662414550781,37.224948883056641,10.695965766906738,35.063198089599609,26.576860427856445,0.83460193872451782,0.63113754987716675,18.368741989135742,0.0080103445798158646,1.523313045501709,0.09201350063085556,0
10,114.20296355895698,99.878250065997349,99.643913449198976,5.7523765412685938E-06,19.834486425388604,-5.1438883071056523E-08,-9.8886137008666992,0.14371636509895325,61.583454132080078,37.327053070068359,10.792060852050781,34.880966186523438,26.361343383789062,0.83236849308013916,0.62785738706588745,18.374259948730469,0.00807905662804842,1.5233124494552612,0.069505460560321808,0
11,114.44595745718107,99.921175189262613,99.67884966514589,5.8307107829234483E-06,19.834490508306772,1.54410558630004E-07,-9.8889236450195312,0.13892033696174622,61.600284576416016,37.483257293701172,10.861250877380371,34.742076873779297,26.227096557617188,0.83014458417892456,0.62535738945007324,18.378988265991211,0.0081186844035983086,1.523311972618103,0.083859257400035858,0
12,114.45783154340461,99.763530357754462,99.75229656524175,5.8759798276351018E-06,19.834493596106768,3.1008889438727273E-07,-9.8869295120239258,0.15183018147945404,61.640903472900391,37.596214294433594,10.692910194396973,34.6134033203125,26.100946426391602,0.82748359441757202,0.62304127216339111,18.383968353271484,0.0081306193023920059,1.5233113765716553,0.077883578836917877,0
13,114.13775493204594,99.49367506790577,99.814394768312468,5.9179209269467961E-06,19.834494576789439,3.5953220235059772E-07,-9.8862981796264648,0.14723087847232819,61.683261871337891,37.739273071289062,10.191897392272949,34.431259155273438,25.930604934692383,0.82476562261581421,0.6197625994682312,18.38996696472168,0.0081223789602518082,1.5233108997344971,0.062126707285642624,0
14,114.01797037944198,99.651856548695378,99.772235725483597,5.9211963564593164E-06,19.834501678589731,7.1758533138605322E-07,-9.8863601684570312,0.14925393462181091,61.726329803466797,37.857017517089844,9.9267520904541016,34.486705780029297,25.92997932434082,0.82128095626831055,0.62076067924499512,18.392459869384766,0.0081131970509886742,1.5233104228973389,0.083568006753921509,0
15,114.21105910930783,99.86806040136571,99.675535121095436,5.9036950609479817E-06,19.834503797348589,8.244072930352121E-07,-9.8844642639160156,0.15588411688804626,61.786273956298828,37.961494445800781,9.9539041519165039,34.390403747558594,25.836179733276367,0.81804901361465454,0.61902725696563721,18.397426605224609,0.0080940499901771545,1.5233099460601807,0.064697273075580597,0
16,114.46959989471361,99.991251083855104,99.733276590055311,5.8895078865711926E-06,19.83450780203566,1.0263125392292267E-06,-9.8849735260009766,0.15288630127906799,61.866382598876953,38.054920196533203,10.043790817260742,34.537834167480469,25.878847122192383,0.81483238935470581,0.62168097496032715,18.397994995117188,0.0080623840913176537,1.523309588432312,0.06686786562204361,0
17,114.64881889428943,99.971229059782218,99.792562510099287,5.8692504863512561E-06,19.834511157125235,1.1954668763022355E-06,-9.8837089538574219,0.1537327915430069,61.926952362060547,38.115463256835938,10.103493690490723,34.735988616943359,26.012214660644531,0.8125845193862915,0.6252477765083313,18.396678924560547,0.008019840344786644,1.5233092308044434,0.082706339657306671,0
18,114.84914523782209,100.0016098861754,99.801780780503805,5.8218794677881204E-06,19.834522312972695,1.7579138510778181E-06,-9.883418083190918,0.15332354605197906,61.993110656738281,38.178768157958984,10.171006202697754,34.723384857177734,25.98554801940918,0.81064748764038086,0.62502092123031616,18.398853302001953,0.0079789580777287483,1.5233088731765747,0.068229436874389648,0
19,115.08167383307591,100.0398254923025,99.807787753073171,5.7759490299846613E-06,19.834526514168829,1.9697265407478645E-06,-9.8821620941162109,0.1598491370677948,62.072582244873047,38.256492614746094,10.24266529083252,34.876998901367188,26.074995040893555,0.80884206295013428,0.62778592109680176,18.397897720336914,0.0079432772472500801,1.5233085155487061,0.076637335121631622,0
20,115.30786308087409,100.03402030520942,99.808258338777705,5.7040573104321906E-06,19.83452723082155,2.0058581888749097E-06,-9.881220817565918,0.16662047803401947,62.127815246582031,38.354568481445312,10.308182716369629,34.899139404296875,26.071231842041016,0.80684924125671387,0.62818443775177002,18.399494171142578,0.0079167662188410759,1.5233081579208374,0.087383970618247986,0
