year,day,elapsed_hours,temperature_c,precipitation_mm_h,surface_water_mm,root_water_mm,groundwater_mm,snow_mm,live_biomass_gm2,dry_biomass_gm2,soil_compaction,dust_gm2,climate_temperature_offset_c,climate_moisture_multiplier,climate_wind_multiplier,climate_storm_frequency,climate_storm_intensity,climate_phase_shift_days,heatwave,cold_snap,rain_burst,wind_storm
81,90,702960,7.6658878326416016,0.005644739605486393,6.3166780471801758,92.609153747558594,86.018112182617188,8.1331663131713867,36.432399749755859,30.668889999389648,0,0.0014505322324112058,-0.82515305280685425,1.0171453952789307,0.83263146877288818,0.9863923192024231,0.99723565578460693,1.5877959728240967,0,0,0,0
81,105,703320,12.298489570617676,4.331136733526364E-05,5.9479079246520996,91.874229431152344,85.170997619628906,0,41.490234375,28.026708602905273,0,0.0031539651099592447,-0.68696856498718262,0.99258977174758911,0.83263146877288818,0.9863923192024231,0.99723565578460693,1.5877959728240967,0,0,0,0
81,120,703680,16.263303756713867,2.2070717022870667E-05,5.8298659324645996,91.079490661621094,83.335227966308594,0,47.767463684082031,25.624980926513672,0,0.001331523060798645,-0.60935801267623901,0.97879815101623535,0.83263146877288818,0.9863923192024231,0.99723565578460693,1.5877959728240967,0,0,0,0
81,135,704040,19.810565948486328,0.0015751830069348216,5.5903220176696777,90.118797302246094,81.384521484375,0,53.196479797363281,23.775798797607422,0,0.00014500129327643663,-0.57960367202758789,0.98814421892166138,0.83263146877288818,0.9863923192024231,0.99723565578460693,1.5877959728240967,0,0,0,0
81,150,704400,22.233119964599609,0,5.2323174476623535,89.043685913085938,79.532745361328125,0,56.328128814697266,23.049747467041016,0,0.00026583485305309296,-0.46297675371170044,1.0448848009109497,0.83263146877288818,0.9863923192024231,0.99723565578460693,1.5877959728240967,0,0,0,0
81,165,704760,23.562488555908203,0,4.7960591316223145,87.7412109375,77.849983215332031,0,57.877193450927734,23.158115386962891,0,0.00017457686772104353,-0.28304201364517212,1.1324255466461182,0.83263146877288818,0.9863923192024231,0.99723565578460693,1.5877959728240967,0,0,0,0
81,180,705120,23.648883819580078,0,4.3264422416687012,86.472610473632812,76.272453308105469,0,59.144027709960938,23.482267379760742,0,7.1518657023261767E-06,-0.082004666328430176,1.2302329540252686,0.83263146877288818,0.9863923192024231,0.99723565578460693,1.5877959728240967,0,0,0,0
81,195,705480,22.555356979370117,0,3.8641159534454346,85.255516052246094,74.766975402832031,0,60.820358276367188,23.663223266601562,0,2.2981892016105121E-06,0.097930014133453369,1.317773699760437,0.83263146877288818,0.9863923192024231,0.99723565578460693,1.5877959728240967,0,0,0,0
81,210,705840,20.256093978881836,5.8346868172520772E-06,3.4486963748931885,84.177909851074219,73.370819091796875,0,64.153907775878906,23.179105758666992,0,2.5123932573478669E-05,0.21455705165863037,1.374514102935791,0.83263146877288818,0.9863923192024231,0.99723565578460693,1.5877959728240967,0,0,0,0
81,225,706200,16.92515754699707,4.0453152905683964E-05,3.1061875820159912,83.163299560546875,72.0379638671875,0,70.166252136230469,21.671907424926758,0,7.0042101469880436E-06,0.23503786325454712,1.3809586763381958,0.83263146877288818,0.9863923192024231,0.99723565578460693,1.5877959728240967,0,0,0,0
81,240,706560,12.879154205322266,3.7927398807369173E-05,2.845703125,82.325698852539062,70.706298828125,0,77.001434326171875,19.840106964111328,0,6.7177352320868522E-06,0.21978062391281128,1.3388943672180176,0.83263146877288818,0.9863923192024231,0.99723565578460693,1.5877959728240967,0,0,0,0
81,255,706920,8.7571868896484375,1.4515391740133055E-05,2.6387102603912354,81.657958984375,69.400405883789062,0,82.70263671875,18.158226013183594,0,4.2167986975982785E-05,0.19360941648483276,1.2667402029037476,0.83263146877288818,0.9863923192024231,0.99723565578460693,1.5877959728240967,0,0,0,0
81,270,707280,3.7306060791015625,3.1603463867213577E-05,2.5000498294830322,81.254928588867188,68.172355651855469,0,85.816017150878906,16.622934341430664,0,0.00067662697983905673,0.16320621967315674,1.1829186677932739,0.83263146877288818,0.9863923192024231,0.99723565578460693,1.5877959728240967,0,0,0,0
81,285,707640,-0.26176625490188599,0.00012657108891289681,2.4237906932830811,81.196304321289062,66.983161926269531,0.00022775511024519801,86.428565979003906,15.222249984741211,0,0.0006528772646561265,0.13525313138961792,1.1058518886566162,0.83263146877288818,0.9863923192024231,0.99723565578460693,1.5877959728240967,0,0,0,0
81,300,708000,-3.837918758392334,0.0076875323429703712,2.3892340660095215,81.378440856933594,65.88427734375,0.76084268093109131,85.421493530273438,14.909701347351074,0,0.018150383606553078,0.1164320707321167,1.0539623498916626,0.92863798141479492,0.9863923192024231,0.99723565578460693,1.5877959728240967,0,0,0,1
