file	phase	waypoint	world_x_m	world_z_m	hour	macro_hour	surface_temp_c	air_temp_c	wind_x_ms	wind_z_ms	humidity_mm	precipitation_mm_h	surface_water_mm	root_water_mm	snow_mm	live_biomass_g_m2	dry_biomass_g_m2	crust_fraction	dust_g_m2	burn_fraction	Elevation	Slope	Aspect	FaultInfluence	RockHardness	DepressionStorage	Drainage	Catchments	SoilDepth	SandFraction	SiltFraction	ClayFraction	Porosity	Permeability	MineralContent	SoilCompaction	SolarRadiation	SurfaceTemperature	SoilTemperature	AirTemperature	Pressure	Wind	Humidity	CloudWater	Precipitation	SurfaceWater	RootWater	Groundwater	Snow	FrozenSoil	LiveBiomass	DryBiomass	LitterBiomass	SeedBank	SoilOrganicMatter	AvailableNitrogen	PlantNitrogen	OrganicNitrogen	FireIntensity	BurnScar	LooseSediment	SurfaceCrust	Dust
waypoint-01-night.png	night	1	32	-64	0.00637	1	-5.322865	-6.117303	5.223276	0.126449	6.909037	0.001028	0	44.571495	5.927346	26.716261	24.164194	0.495856	0	0	437.056976	0.025394	2.058607	0	0.40508	0	0	122	1.565737	0.321519	0.40445	0.27403	0.375767	9.304843	0.402127	0	0	-6.841813	0.724705	-6.564953	956.843323	4.382782	5.026019	1.575395	0.141955	0	44.571495	25.323042	6.067247	0.020085	26.716261	24.164194	53.407108	0.365924	1447.77002	0.627033	0.480893	18.801256	0	0	5.174603	0.495856	0
waypoint-02-night.png	night	2	511.495697	-277.485291	0.00637	1	-6.005225	-6.505101	4.649617	-0.504466	6.648113	0.00066	0	44.466152	6.006615	26.792805	24.269609	0.495425	0	0	445.722198	0.011541	-2.632211	0	0.411622	0	0	122	1.582635	0.327469	0.399066	0.273465	0.375632	9.456129	0.401056	0	0	-6.905543	0.694547	-6.630616	955.539612	4.348552	4.997216	1.583624	0.114441	0	44.466152	25.267672	6.120609	0.023783	26.792805	24.269609	53.580555	0.366944	1452.208374	0.629278	0.48227	18.842272	0	0	5.141888	0.495425	0
waypoint-03-night.png	night	3	1025.322998	-506.25592	0.00637	1	-5.115621	-6.073104	5.50756	-0.077548	6.927183	0.001196	0	45.185795	6.185461	27.185631	24.142609	0.492575	0	0	453.305664	0.028864	0.119965	0	0.424873	0	0	122	1.606073	0.34472	0.385696	0.269584	0.3747	9.90487	0.39795	0	0	-6.870066	0.669782	-6.627522	954.531311	4.421982	5.027658	1.582362	0.152135	0	45.185795	25.67757	6.335183	0.027006	27.185631	24.142609	53.730099	0.367824	1456.03479	0.631213	0.489341	18.871752	0	0	5.075636	0.492575	0
waypoint-04-night.png	night	4	1535.770752	-733.52179	0.00637	1	-5.494367	-6.27997	5.21132	-0.304495	7.018709	0.001039	0	46.659061	6.504379	27.945072	24.000191	0.49715	0	0	467.799713	0.018079	1.398674	0	0.449041	0	0	122	1.655998	0.371606	0.350799	0.277596	0.376623	10.540957	0.393111	0	0	-6.820082	0.62213	-6.622969	952.989563	4.47691	5.111631	1.681753	0.154426	0	46.659061	26.324497	6.656815	0.03317	27.945072	24.000191	54.133522	0.370197	1466.357788	0.636434	0.503011	18.956682	0	0	4.954794	0.49715	0
waypoint-05-night.png	night	5	2048.627686	-961.860718	0.00637	1	-5.718635	-6.392298	4.9398	-0.67174	7.065911	0.000965	0	47.915325	6.704336	28.434681	23.677353	0.495206	0	0	471.360657	0.014273	-1.127918	0	0.45283	0	0	122	1.664029	0.381786	0.342982	0.275232	0.376056	10.806105	0.391279	0	0	-6.706072	0.612238	-6.55598	952.938843	4.339355	5.200314	1.764075	0.164486	0	47.915325	26.958651	6.868397	0.034668	28.434681	23.677353	54.137482	0.37022	1466.459106	0.636485	0.511824	18.948835	0	0	4.935848	0.495206	0
waypoint-06-night.png	night	6	2559.37915	-1189.262024	0.00637	1	-4.957189	-5.932959	5.62289	-0.550954	7.502871	0.001468	0	49.241024	6.798472	28.429934	22.918146	0.490873	0	0	463.119537	0.025338	-0.538916	0	0.430769	0	0	168.62645	1.618224	0.405629	0.32581	0.268561	0.374455	11.432197	0.386987	0	0	-6.50367	0.643449	-6.40366	954.468567	4.170926	5.306451	1.814399	0.206941	0	49.241024	27.689867	7.005216	0.031129	28.429934	22.918146	53.292244	0.365249	1444.830933	0.625547	0.511739	18.742336	0	0	5.046155	0.490873	0
waypoint-07-night.png	night	7	3070.796875	-1416.9599	0.00637	1	-5.159767	-5.992257	5.287622	-0.532312	7.627753	0.001569	0	51.391953	6.991529	28.890656	22.143085	0.491471	0	0	456.213898	0.024851	0.742833	0	0.413242	0	0	170.180511	1.58358	0.412099	0.31783	0.270072	0.374817	11.587145	0.385822	0	0	-6.237728	0.671322	-6.189306	956.087097	4.336432	5.478376	2.018163	0.266294	0	51.391953	28.75197	7.256839	0.028149	28.890656	22.143085	52.773472	0.362197	1431.556396	0.618833	0.520032	18.607248	0	0	5.133791	0.491471	0
waypoint-08-night.png	night	8	3584.708862	-1645.767944	0.00637	1	-5.292433	-6.093396	5.034232	-1.184926	7.329653	0.001643	0	50.840443	6.869465	28.599438	22.302464	0.497439	0	0	453.044556	0.03973	1.092417	0	0.413199	0	0	172	1.579588	0.410654	0.310466	0.278879	0.376931	11.511397	0.386082	0.000001	0	-6.292097	0.680966	-6.205501	957.603027	4.203323	5.422445	1.899832	0.281191	0	50.840443	28.423866	7.150025	0.026808	28.594589	22.300982	52.736847	0.361974	1430.571289	0.618335	0.514703	18.603167	0	0	5.134004	0.49742	0
waypoint-09-night.png	night	9	4095.675903	-1873.265015	0.00637	1	-5.15581	-5.994626	5.241495	-0.956609	7.43565	0.00152	0.026782	50.698044	6.850286	28.772696	22.586681	0.503076	0	0	454.836395	0.033735	1.212744	0	0.420595	1.347708	0	172	1.596083	0.387448	0.324778	0.287775	0.379066	10.891204	0.390259	0	0	-6.333259	0.674231	-6.239627	958.7323	4.211044	5.374174	1.857162	0.246789	0	50.724823	28.359488	7.095131	0.027577	28.772696	22.586681	53.178097	0.364577	1441.910156	0.624069	0.517909	18.708265	0	0	5.097027	0.503076	0
waypoint-09-day.png	day	9	4095.675903	-1873.265015	12.021334	13	-7.892981	-8.307825	-0.411139	-2.578568	3.336597	0.116002	0	50.769844	9.486138	28.762728	22.525801	0.501321	0	0	454.836395	0.033735	1.212744	0	0.420595	1.347708	0	172	1.596083	0.387448	0.324778	0.287775	0.379066	10.891204	0.390259	0	58.69281	-7.944664	-1.23067	-8.619733	955.176331	2.314459	3.243682	1.528047	0.081545	0	50.795498	28.389593	9.540095	0.133985	28.762728	22.525801	53.248917	0.364509	1441.910156	0.62407	0.517729	18.708447	0	0	5.097027	0.501321	0
