year,day,elapsed_hours,region_x,region_y,temperature_c,snow_mm,surface_water_mean_mm,surface_water_max_mm,flooded_fraction,root_water_mm,water_stress_fraction,live_biomass_gm2,dust_gm2,burning_fraction,burn_scar
1,120,2880,6,2,14.133871078491211,0,0,0,0,57.156604766845703,0,27.81268310546875,0.027084903791546822,0,0
1,120,2880,7,2,14.706333160400391,0,0.13111421465873718,0.70390176773071289,0,97.697792053222656,0,26.90770149230957,1.8900567511082045E-07,0,0
1,120,2880,0,3,14.834074020385742,0,0.11044371873140335,1.0216687917709351,0,103.25719451904297,0,23.793172836303711,2.6361299205746036E-06,0,0
1,120,2880,1,3,13.150701522827148,0,0.012041180394589901,0.19265888631343842,0,70.9005126953125,0,23.430755615234375,0.0003347666934132576,0,0
1,120,2880,2,3,13.55298900604248,0,0.011930357664823532,0.19088572263717651,0,68.943428039550781,0,26.280536651611328,0.0018612933345139027,0,0
1,120,2880,3,3,13.096918106079102,0,0,0,0,59.43115234375,0,26.360754013061523,0.021654523909091949,0,0
1,120,2880,4,3,13.23222541809082,0,0,0,0,61.810333251953125,0,10.519603729248047,0.04655340313911438,0,0
1,120,2880,5,3,13.334202766418457,0,0,0,0,57.831512451171875,0,18.826045989990234,0.05209658294916153,0,0
1,120,2880,6,3,13.492531776428223,0,0,0,0,67.220413208007812,0,25.173301696777344,0.033849306404590607,0,0
1,120,2880,7,3,14.17105770111084,0,0.23277805745601654,0.99284356832504272,0,105.17981719970703,0,23.889179229736328,1.6683078740697965E-07,0,0
1,120,2880,0,4,16.02241325378418,0,0.35413113236427307,1.0387848615646362,0,118.33694458007812,0,27.295598983764648,5.5298562543479443E-23,0,0
1,120,2880,1,4,14.321079254150391,0,0.024444498121738434,0.15489338338375092,0,83.870437622070312,0,23.344003677368164,0.00020436932391021401,0,0
1,120,2880,2,4,13.905403137207031,0,0.0058388877660036087,0.093422204256057739,0,76.766868591308594,0,19.43730354309082,0.0025491111446171999,0,0
