year,stored_water_mm_per_cell,input_mm_per_cell,output_mm_per_cell,water_error,nitrogen_gm2_per_cell,nitrogen_error,temperature_c,surface_water_mm,root_water_mm,groundwater_mm,snow_mm,live_biomass_gm2,dry_biomass_gm2,available_nitrogen_gm2,plant_nitrogen_gm2,organic_nitrogen_gm2,soil_depth_m,dust_gm2,non_finite
1,197.81986837089062,511.29749757205519,440.04604693348551,2.0054092714707565E-06,19.656794846057892,6.2161471563374422E-08,-9.4814567565917969,0.69299912452697754,69.187347412109375,73.407432556152344,49.954216003417969,122.90412139892578,101.06472015380859,4.335472583770752,2.2122743129730225,13.109047889709473,1.5102607011795044,0.0098773548379540443,0
2,204.48710970580578,499.94503175371636,493.27957634188772,2.69386245193243E-06,19.656792417168617,-6.1403404836991815E-08,-9.4496231079101562,1.1681578159332275,71.382530212402344,77.231719970703125,50.101161956787109,112.15703582763672,86.040443420410156,2.7883083820343018,2.0188267230987549,14.84965705871582,1.5102529525756836,0.0089171575382351875,0
3,211.08209019899368,500.16253163255146,493.56954742223922,3.0900314540873173E-06,19.656793538480997,-4.3588836767000357E-09,-9.3969955444335938,1.1412911415100098,76.321731567382812,78.459419250488281,50.588443756103516,94.846908569335938,72.063743591308594,1.8383524417877197,1.7072441577911377,16.111196517944336,1.5102463960647583,0.029865827411413193,0
4,215.0539844930172,499.71196722773766,495.74207601238913,3.3047277995119667E-06,19.656796894967556,1.6639564644098398E-07,-9.352055549621582,1.181638240814209,79.462379455566406,79.112052917480469,50.695400238037109,79.573684692382812,59.590614318847656,1.3335590362548828,1.4323261976242065,16.890911102294922,1.5102412700653076,0.0033569792285561562,0
5,218.90763241052628,500.40050276916531,496.54842366850312,3.2725565024767163E-06,19.656800612807274,3.555332946734464E-07,-9.3196191787719727,1.2850606441497803,81.89208984375,80.003387451171875,51.125865936279297,68.614265441894531,50.554737091064453,1.1042152643203735,1.2350568771362305,17.317527770996094,1.5102372169494629,0.019684089347720146,0
6,221.87683470547199,499.83032847497589,496.86256393307576,3.2094668566067708E-06,19.656801361590624,3.936261476741728E-07,-9.2971591949462891,1.3917547464370728,83.595703125,80.849380493164062,51.464992523193359,62.350540161132812,45.151439666748047,1.0072020292282104,1.122309684753418,17.527290344238281,1.510233998298645,0.020255507901310921,0
7,224.17130689322948,500.55772850835319,498.26437901581221,3.0764912211335766E-06,19.656801674515009,4.0954554892820772E-07,-9.2815647125244141,1.5438085794448853,84.87481689453125,81.424476623535156,51.714828491210938,59.543590545654297,42.448230743408203,0.96768009662628174,1.0717843770980835,17.617338180541992,1.510231614112854,0.0027915807440876961,0
8,226.01261156797409,500.13528286773908,498.2948734158922,2.9210189203160882E-06,19.656801335513592,3.9229953090300327E-07,-9.2717390060424805,1.6989691257476807,85.732643127441406,81.964561462402344,52.029659271240234,58.465843200683594,41.322116851806641,0.94983738660812378,1.0523850917816162,17.654579162597656,1.5102298259735107,0.021230604499578476,0
9,227.47686462104321,500.73964036093003,499.27623569039361,2.7886107721599943E-06,19.656800653785467,3.5761797817099861E-07,-9.2666893005371094,1.8543860912322998,86.196014404296875,82.35394287109375,52.486347198486328,58.166912078857422,40.916816711425781,0.94151753187179565,1.047004222869873,17.668279647827148,1.5102285146713257,0.015325433574616909,0
10,228.72371016442776,500.00030406754558,498.75414159461616,2.6502204967249457E-06,19.656800333410501,3.4131954355377238E-07,-9.2592554092407227,2.0240449905395508,86.73681640625,82.607429504394531,52.736286163330078,58.171443939208984,40.842258453369141,0.9367099404335022,1.0470860004425049,17.673004150390625,1.5102274417877197,0.0040068007074296474,0
11,229.91641084849834,499.98649457759802,498.7944572810793,2.5328862775530897E-06,19.656794562935829,4.7758203762104744E-08,-9.2557668685913086,2.1854827404022217,87.039283752441406,82.970664978027344,53.081417083740234,58.34991455078125,40.897392272949219,0.93416315317153931,1.0502983331680298,17.672332763671875,1.5102266073226929,0.027234083041548729,0
12,229.896713539958,499.01333018634705,499.03349436304052,2.4030344196957488E-06,19.656795881688595,1.1484710904696617E-07,-9.2510871887207031,2.3523056507110596,87.392372131347656,83.059600830078125,52.335464477539062,58.608524322509766,41.043659210205078,0.93202668428421021,1.0549532175064087,17.669816970825195,1.5102260112762451,0.0077730552293360233,0
13,227.76869869232178,496.91966916745878,499.04817210043984,2.2966288031090777E-06,19.656794331967831,3.600816950317421E-08,-9.2474145889282227,2.5063240528106689,87.516372680664062,83.2105712890625,49.747543334960938,58.844394683837891,41.210506439208984,0.92981958389282227,1.0591989755630493,17.667776107788086,1.5102255344390869,0.009367884136736393,0
14,226.57695369422436,498.74645504393447,499.93865315453604,2.1995834399527721E-06,19.656791403889656,-1.1295194223100963E-07,-9.2504968643188477,2.5582244396209717,87.563034057617188,83.256538391113281,48.582431793212891,59.075180053710938,41.359302520751953,0.92669743299484253,1.0633531808853149,17.666740417480469,1.5102250576019287,0.023784870281815529,0
15,226.83516262471676,498.87515955118488,498.61734022512883,2.1068645366089864E-06,19.656785827130079,-3.9665841457970328E-07,-9.2459592819213867,2.551863431930542,87.671783447265625,83.372840881347656,48.629558563232422,59.202899932861328,41.471195220947266,0.92216700315475464,1.0656518936157227,17.668966293334961,1.5102245807647705,0.0032126610167324543,0
16,227.27343443036079,500.08329559566027,499.64548283543718,2.0337593650017582E-06,19.656787391752005,-3.1706140830952869E-07,-9.2484884262084961,2.5534679889678955,87.718109130859375,83.450080871582031,48.9498291015625,59.364871978759766,41.5577392578125,0.9180799126625061,1.0685673952102661,17.670139312744141,1.5102241039276123,0.015481244772672653,0
17,227.89147178828716,499.71073697734937,499.09315413520835,1.9686839302157404E-06,19.656785242259502,-4.2641253359022092E-07,-9.2457427978515625,2.5626740455627441,87.855606079101562,83.500579833984375,49.395900726318359,59.479122161865234,41.638824462890625,0.91401934623718262,1.0706239938735962,17.672142028808594,1.5102236270904541,0.018350591883063316,0
18,228.19064427912235,500.04794474138907,499.74922063454142,1.9099881947022594E-06,19.656787399202585,-3.1668237494633738E-07,-9.2460803985595703,2.5509519577026367,87.878578186035156,83.573326110839844,49.575721740722656,59.562107086181641,41.689956665039062,0.91014230251312256,1.072117805480957,17.674528121948242,1.5102232694625854,0.0029383527580648661,0
19,228.64811746776104,500.06265348447778,499.60569405370552,1.8641701368886199E-06,19.656786881387234,-3.4302519368813327E-07,-9.2458286285400391,2.5601189136505127,87.909599304199219,83.613800048828125,49.977455139160156,59.597995758056641,41.725685119628906,0.90541470050811768,1.0727638006210327,17.678607940673828,1.5102229118347168,0.02057281881570816,0
20,228.96234320104122,499.88602186053868,499.57216404861174,1.8085134639828275E-06,19.656783066689968,-5.3709027564208273E-07,-9.2452669143676758,2.5496485233306885,87.906135559082031,83.651458740234375,50.271133422851562,59.646976470947266,41.751743316650391,0.90037572383880615,1.0736457109451294,17.682762145996094,1.5102226734161377,0.0144238555803895,0
21,229.50449630618095,500.18499530511508,499.64309156049967,1.746890299198607E-06,19.656785275787115,-4.2470688345586002E-07,-9.2438278198242188,2.567471981048584,88.060211181640625,83.686408996582031,50.576141357421875,59.674953460693359,41.768489837646484,0.89561861753463745,1.0741491317749023,17.687017440795898,1.510222315788269,0.0040014199912548065,0
22,229.82926851511002,499.27956935036673,498.95518063159761,1.702990717584941E-06,19.656783804297447,-4.9956597268614324E-07,-9.2436914443969727,2.5416455268859863,88.079864501953125,83.689613342285156,50.935024261474609,59.767795562744141,41.808116912841797,0.89018505811691284,1.0758203268051147,17.690778732299805,1.5102219581604004,0.026828965172171593,0
23,230.46906618773937,500.36468235658685,499.72511331336864,1.6493920485137937E-06,19.656781867146492,-5.9811464711588324E-07,-9.2438821792602539,2.5634441375732422,88.139312744140625,83.768096923828125,51.401329040527344,59.840190887451172,41.853458404541016,0.88510316610336304,1.0771234035491943,17.694555282592773,1.5102217197418213,0.007011862937361002,0
24,230.60449089109898,499.33813767531137,499.20308074828245,1.611819202484665E-06,19.656776070594788,-8.9300260367872039E-07,-9.2413673400878906,2.545696496963501,88.172462463378906,83.702995300292969,51.5655517578125,59.890861511230469,41.887985229492188,0.87991219758987427,1.0780353546142578,17.698827743530273,1.5102214813232422,0.0094940913841128349,0
25,231.09367164969444,500.16997201249978,499.68096617014817,1.5618456061885096E-06,19.656774412840605,-9.7733752698878636E-07,-9.2467641830444336,2.548837423324585,88.069229125976562,83.736312866210938,52.161037445068359,59.927143096923828,41.927410125732422,0.87431877851486206,1.0786885023117065,17.703767776489258,1.5102212429046631,0.021966619417071342,0
26,231.69255228340626,499.45401558586127,498.85536114160277,1.5196659750763094E-06,19.656769923865795,-1.205705128311549E-06,-9.2408847808837891,2.5603737831115723,88.276504516601562,83.760353088378906,52.483638763427734,60.030792236328125,41.966094970703125,0.87007999420166016,1.0805542469024658,17.706136703491211,1.510221004486084,0.0030944210011512041,0
27,231.56663182377815,500.06859523348612,500.19473563559586,1.4800523466584796E-06,19.656765844672918,-1.41322589465879E-06,-9.2472629547119141,2.5442900657653809,87.870597839355469,83.781723022460938,52.761924743652344,60.070289611816406,42.023349761962891,0.86447888612747192,1.0812650918960571,17.711021423339844,1.5102207660675049,0.013609733432531357,0
28,232.29403288662434,499.73614533042382,499.0091226227978,1.4544863299134739E-06,19.656766258180141,-1.3921895430016723E-06,-9.2447090148925781,2.5622708797454834,88.008247375488281,83.783561706542969,53.309329986572266,60.042671203613281,42.020317077636719,0.85911405086517334,1.0807678699493408,17.716884613037109,1.5102205276489258,0.018937788903713226,0
29,231.16205212473869,498.70057190356783,499.83271782534575,1.4161955455012747E-06,19.656766660511494,-1.3717217413893418E-06,-9.2445249557495117,2.5390105247497559,87.870590209960938,83.783317565917969,52.185333251953125,60.039627075195312,42.027618408203125,0.85299450159072876,1.0807132720947266,17.723058700561523,1.5102202892303467,0.0029041261877864599,0
30,229.0710051804781,498.20309608864954,500.29419919766406,1.373269808686678E-06,19.656767718493938,-1.3178990038161762E-06,-9.2447967529296875,2.5691459178924561,88.052047729492188,83.817131042480469,49.874320983886719,59.953956604003906,41.991085052490234,0.84713155031204224,1.0791711807250977,17.730464935302734,1.5102200508117676,0.020901888608932495,0
31,227.56289757788181,498.08606086226246,499.59429233635819,1.3374240688313094E-06,19.656762257218361,-1.5957304590354046E-06,-9.2428207397460938,2.54032301902771,88.084075927734375,83.767242431640625,48.549640655517578,59.952964782714844,41.982322692871094,0.84126710891723633,1.0791534185409546,17.73634147644043,1.5102198123931885,0.014196744188666344,0
32,227.56685627996922,499.80748589462564,499.80374452949582,1.3094496448874978E-06,19.65675925463438,-1.7484809044015015E-06,-9.2435340881347656,2.5694057941436768,87.995590209960938,83.836013793945312,48.549041748046875,59.962173461914062,41.981594085693359,0.83540058135986328,1.0793191194534302,17.742038726806641,1.5102196931838989,0.0041029849089682102,0
33,228.05784229934216,499.42902045626761,498.93825725202259,1.2835158701406344E-06,19.656756654381752,-1.8807635481552677E-06,-9.2420539855957031,2.5495929718017578,88.186264038085938,83.765777587890625,48.974319458007812,60.004993438720703,41.996540069580078,0.83006691932678223,1.080089807510376,17.746599197387695,1.5102194547653198,0.026289626955986023,0
34,228.33131667971611,500.07474193564121,499.80144484350967,1.2563888641186134E-06,19.656754475086927,-1.991630806888725E-06,-9.243499755859375,2.5564749240875244,88.045249938964844,83.801651000976562,49.3321533203125,60.029273986816406,42.018272399902344,0.82520222663879395,1.0805269479751587,17.751026153564453,1.5102192163467407,0.0068299840204417706,0
35,228.81169173121452,499.36763332145347,498.88761310021437,1.2409238693069109E-06,19.656751144677401,-2.1610587202352398E-06,-9.2409420013427734,2.5546352863311768,88.293487548828125,83.777748107910156,49.570865631103516,60.109672546386719,42.045627593994141,0.8213953971862793,1.0819741487503052,17.753381729125977,1.5102189779281616,0.0098715582862496376,0
36,229.04833516478539,499.92417253176245,499.68772320995777,1.2174061224192703E-06,19.656747572124004,-2.3428052178854717E-06,-9.2438211441040039,2.5505943298339844,88.084953308105469,83.821723937988281,50.014667510986328,60.202590942382812,42.104209899902344,0.81723654270172119,1.0836466550827026,17.755865097045898,1.5102187395095825,0.021529197692871094,0
37,229.39767247438431,499.86868246685481,499.51945326198984,1.1905365643360374E-06,19.656747695058584,-2.3365511673928151E-06,-9.2436132431030273,2.557837963104248,88.092842102050781,83.801033020019531,50.338085174560547,60.238449096679688,42.135398864746094,0.8131561279296875,1.084291934967041,17.759300231933594,1.510218620300293,0.0031513147987425327,0
38,229.61092306673527,499.78839131097629,499.57528571097282,1.1670053137198534E-06,19.656743872910738,-2.5309952827099559E-06,-9.2445230484008789,2.5435826778411865,87.963981628417969,83.859283447265625,50.643466949462891,60.254573822021484,42.155914306640625,0.80798953771591187,1.0845822095870972,17.764171600341797,1.5102183818817139,0.013305875472724438,0
39,229.96494369208813,500.54890902458283,500.19504160381257,1.1450467396543066E-06,19.656745169311762,-2.4650434775146684E-06,-9.2460899353027344,2.5637128353118896,87.983123779296875,83.790702819824219,51.048515319824219,60.191925048828125,42.118751525878906,0.80224978923797607,1.0834544897079468,17.771039962768555,1.5102181434631348,0.019872467964887619,0
40,230.41921809315681,499.6329285871725,499.17879536861437,1.123634227454238E-06,19.656744424253702,-2.502946813833799E-06,-9.2424077987670898,2.548027515411377,88.076675415039062,83.838775634765625,51.344554901123047,60.146839141845703,42.095645904541016,0.79684972763061523,1.0826429128646851,17.777252197265625,1.5102180242538452,0.0026861168444156647,0
41,230.61487773060799,500.50790526270794,500.3123492032355,1.1013891344832746E-06,19.65674452483654,-2.4978298634307163E-06,-9.2464656829833984,2.5647587776184082,87.973068237304688,83.866325378417969,51.619289398193359,60.159675598144531,42.073200225830078,0.79192441701889038,1.082874059677124,17.781946182250977,1.5102180242538452,0.022050710394978523,0
42,231.15208499133587,499.77700747846393,499.23989984499349,1.0800484542606223E-06,19.656746968626976,-2.3735069203039674E-06,-9.2439165115356445,2.5470795631408691,88.076080322265625,83.841453552246094,52.102931976318359,60.129531860351562,42.068035125732422,0.78686130046844482,1.0823315382003784,17.787553787231445,1.5102180242538452,0.013524796813726425,0
43,231.47797453403473,500.05039235348158,499.72459513359718,1.0593430229494953E-06,19.656745608896017,-2.4426805090863811E-06,-9.2440004348754883,2.548335075378418,88.111518859863281,83.8609619140625,52.337043762207031,60.163780212402344,42.072032928466797,0.78223669528961182,1.0829479694366455,17.791561126708984,1.5102180242538452,0.0045408592559397221,0
44,231.98015587031841,499.67100579529142,499.16898597645923,1.0427188286188544E-06,19.656745184212923,-2.4642854107882858E-06,-9.2438850402832031,2.5516161918640137,88.209823608398438,83.773223876953125,52.856975555419922,60.203220367431641,42.107421875,0.77878326177597046,1.0836577415466309,17.794303894042969,1.5102180242538452,0.024782391265034676,0
45,232.48850479722023,499.80776641590637,499.29963745046189,1.0294059499321529E-06,19.656744513660669,-2.4983984134755033E-06,-9.2421894073486328,2.5510566234588623,88.215888977050781,83.831809997558594,53.238574981689453,60.296676635742188,42.149280548095703,0.77507960796356201,1.0853400230407715,17.79632568359375,1.5102179050445557,0.0069166328758001328,0
46,231.52332390844822,498.70570301316548,499.67110857805892,1.0169209065281303E-06,19.656740933656693,-2.6805239444889265E-06,-9.2425956726074219,2.556166410446167,88.149093627929688,83.77386474609375,52.241771697998047,60.350494384765625,42.211509704589844,0.77142709493637085,1.0863088369369507,17.799005508422852,1.5102179050445557,0.0099324798211455345,0
47,229.05911900103092,497.24528253273093,499.70969305303879,1.0042181025587483E-06,19.65674214810133,-2.6187415062887434E-06,-9.2434873580932617,2.5494582653045654,88.044998168945312,83.800712585449219,49.931507110595703,60.389183044433594,42.248455047607422,0.7672041654586792,1.0870052576065063,17.802532196044922,1.5102179050445557,0.021311037242412567,0
48,227.5470298230648,498.6300699972453,500.14231661651502,9.8998490142844919E-07,19.656742997467518,-2.5755317028849345E-06,-9.2437801361083984,2.5616269111633301,87.948936462402344,83.79241943359375,48.598262786865234,60.362293243408203,42.251857757568359,0.76247322559356689,1.0865212678909302,17.807748794555664,1.5102179050445557,0.0035683929454535246,0
49,227.43746103346348,499.35051069183464,499.46029670256758,9.7872796612738874E-07,19.656743433326483,-2.5533582511382428E-06,-9.2440958023071289,2.5468502044677734,87.936592102050781,83.804031372070312,48.549221038818359,60.293899536132812,42.219173431396484,0.75692719221115112,1.0852899551391602,17.814525604248047,1.5102179050445557,0.014006533659994602,0
50,227.98498322069645,500.37434934250632,499.82701161380828,9.6657485770227814E-07,19.656742118299007,-2.6202576397415086E-06,-9.2463283538818359,2.5657753944396973,87.906402587890625,83.83154296875,49.104286193847656,60.274147033691406,42.192329406738281,0.75187230110168457,1.0849344730377197,17.819934844970703,1.5102179050445557,0.020366484299302101,0
51,228.16822999715805,499.56873810820616,499.38570276046812,9.5597927413386448E-07,19.656738605350256,-2.7989718704862101E-06,-9.2437639236450195,2.5586783885955811,87.976058959960938,83.796798706054688,49.227268218994141,60.240856170654297,42.167751312255859,0.74735343456268311,1.0843354463577271,17.825050354003906,1.5102179050445557,0.0024112001992762089,0
52,228.42893861234188,500.10329786703369,499.84277244393888,9.4468856816949941E-07,19.656738493591547,-2.8046573709340797E-06,-9.2462854385375977,2.549422025680542,87.898635864257812,83.798744201660156,49.591495513916016,60.200832366943359,42.140472412109375,0.74265837669372559,1.0836149454116821,17.830465316772461,1.5102179050445557,0.02336747944355011,0
53,229.06838399171829,499.8138124224206,499.17452152897022,9.3275383494885999E-07,19.656736366450787,-2.9128713961251979E-06,-9.2442951202392578,2.5600645542144775,88.08038330078125,83.821563720703125,50.024051666259766,60.210010528564453,42.136753082275391,0.73870038986206055,1.08378005027771,17.834255218505859,1.5102179050445557,0.012611630372703075,0
