year,stored_water_mm_per_cell,input_mm_per_cell,output_mm_per_cell,water_error,nitrogen_gm2_per_cell,nitrogen_error,temperature_c,surface_water_mm,root_water_mm,groundwater_mm,snow_mm,live_biomass_gm2,dry_biomass_gm2,available_nitrogen_gm2,plant_nitrogen_gm2,organic_nitrogen_gm2,soil_depth_m,dust_gm2,non_finite
1,120.5091099864617,17.543876128974599,21.060327263943282,1.2123510617008072E-07,19.844193873759359,-1.7431431273513317E-07,-9.9525575637817383,0.031123867258429527,54.910655975341797,59.474945068359375,1.8062072992324829,122.12984466552734,104.09425354003906,4.2359418869018555,2.1983370780944824,13.409914970397949,1.524425745010376,0.26586738228797913,0
2,116.24900896780193,17.764764398203702,22.024771975116245,-4.7873319716330785E-07,19.84419263510965,-2.3673304856175574E-07,-9.9940252304077148,0.04494866356253624,50.850902557373047,59.195224761962891,1.8636854887008667,100.12211608886719,84.928268432617188,2.6841995716094971,1.8021979331970215,15.357794761657715,1.524425745010376,0.31245735287666321,0
3,112.84171064814552,18.295610684980975,21.70274164999223,-1.3715785038656905E-06,19.84419452880509,-1.4130487819528328E-07,-10.010001182556152,0.065418392419815063,48.823837280273438,57.738971710205078,1.9135013818740845,69.480690002441406,62.155643463134766,1.8893463611602783,1.2506523132324219,16.704195022583008,1.524425745010376,0.38477352261543274,0
4,110.67521751504391,18.743735761892985,20.90998238229443,-2.4959876544177996E-06,19.844197480371221,7.4321092681177668E-09,-10.008339881896973,0.07887885719537735,48.502902984619141,55.838996887207031,1.9528354406356812,48.796047210693359,43.808444976806641,1.5007694959640503,0.87832885980606079,17.465099334716797,1.524425745010376,0.4270603358745575,0
5,109.36774043697864,18.905917664594082,20.213169085693536,-3.3249939989995399E-06,19.844198811063542,7.4489108286001238E-08,-10.000957489013672,0.077259078621864319,48.979705810546875,54.061550140380859,1.9482570886611938,37.719264984130859,32.909496307373047,1.3040143251419067,0.67894673347473145,17.861238479614258,1.524425745010376,0.44949400424957275,0
6,108.48299866221845,19.124569214841575,20.009152808138477,-3.7285382142174603E-06,19.844202510723843,2.6092447975235931E-07,-9.9933328628540039,0.073061347007751465,49.608150482177734,52.551059722900391,1.9502009153366089,32.653713226318359,27.479118347167969,1.1889463663101196,0.58776682615280151,18.067489624023438,1.524425745010376,0.46038675308227539,0
7,107.77186545310542,19.173028614449251,19.884048369210451,-3.8940381384070954E-06,19.844206208977848,4.4728898430159905E-07,-9.9868059158325195,0.07711474597454071,50.176162719726562,51.251644134521484,1.9663015604019165,30.598649978637695,25.034578323364258,1.1108064651489258,0.55077564716339111,18.182624816894531,1.524425745010376,0.46007415652275085,0
8,107.09283239856363,19.246301902490668,19.925279644010551,-3.8220765125434391E-06,19.844209786234423,6.2755611807467145E-07,-9.9823284149169922,0.078918479382991791,50.610031127929688,50.114490509033203,1.988041877746582,29.855386734008789,23.993141174316406,1.0524797439575195,0.53739690780639648,18.25433349609375,1.524425745010376,0.46688485145568848,0
9,106.35113031631336,19.148404669544398,19.89008466036168,-3.6470759029584981E-06,19.844211468761788,7.1234298725742943E-07,-9.9791631698608398,0.08275952935218811,50.915786743164062,49.078884124755859,1.9722124338150024,29.635492324829102,23.555034637451172,1.0066821575164795,0.53343886137008667,18.30409049987793,1.5244256258010864,0.46958529949188232,0
10,105.62292766742408,19.202811927780566,19.931026504284965,-3.383681213890926E-06,19.844210448972881,6.6095320873067856E-07,-9.9769630432128906,0.081967741250991821,51.147350311279297,48.107532501220703,1.9846451282501221,29.593671798706055,23.360355377197266,0.9697420597076416,0.53268611431121826,18.341781616210938,1.5244256258010864,0.46293514966964722,0
11,104.89565438777208,19.22799442581065,19.955310956397771,-3.0558619050605908E-06,19.844209782723336,6.2737918544054163E-07,-9.9753961563110352,0.080513149499893188,51.3155517578125,47.195041656494141,2.0001721382141113,29.607036590576172,23.261629104614258,0.93933665752410889,0.53292661905288696,18.371946334838867,1.5244256258010864,0.46346172690391541,0
12,104.12234977783635,19.128232706362251,19.901617386983418,-2.6595479715784309E-06,19.844214625628666,8.71425605985442E-07,-9.9742593765258789,0.075874492526054382,51.426063537597656,46.341670989990234,1.9668784141540527,29.627412796020508,23.202371597290039,0.91393190622329712,0.53329342603683472,18.396989822387695,1.5244256258010864,0.46116974949836731,0
13,103.30637354353443,19.114687442101751,19.930763904514205,-2.2497652747966341E-06,19.8442124596145,7.6227459683393777E-07,-9.973419189453125,0.070683464407920837,51.491069793701172,45.556137084960938,1.8784745931625366,29.642940521240234,23.158668518066406,0.89232105016708374,0.53357291221618652,18.418317794799805,1.5244256258010864,0.4596666693687439,0
14,102.51994592899456,19.041872475577403,19.828436090446086,-1.7884655409462633E-06,19.844216837035493,9.8286406781267278E-07,-9.9732561111450195,0.066355675458908081,51.516700744628906,44.817863464355469,1.819359302520752,29.64338493347168,23.120136260986328,0.87372958660125732,0.53358089923858643,18.436906814575195,1.5244256258010864,0.46625518798828125,0
15,101.83948315219953,19.236224695412346,19.916845223021191,-1.3162536814323496E-06,19.844213417405264,8.1054012988216755E-07,-9.9732913970947266,0.062520414590835571,51.524734497070312,44.123298645019531,1.832653284072876,29.633955001831055,23.082386016845703,0.85751479864120483,0.53341114521026611,18.453287124633789,1.5244256258010864,0.46035560965538025,0
16,101.1899922676012,19.212521276581757,19.862190624650466,-8.3811530449949078E-07,19.844214166840537,8.4830609558091963E-07,-9.9736642837524414,0.058081690222024918,51.510383605957031,43.472442626953125,1.8536486625671387,29.614879608154297,23.045930862426758,0.84324496984481812,0.53306782245635986,18.467901229858398,1.5244255065917969,0.45779779553413391,0
17,100.55019032824785,19.210891621346491,19.850887410252035,-3.6668403990009378E-07,19.84421908649616,1.0962201602580857E-06,-9.9740753173828125,0.053930412977933884,51.481960296630859,42.866371154785156,1.8533815145492554,29.59144401550293,23.010858535766602,0.83050888776779175,0.53264594078063965,18.481063842773438,1.5244255065917969,0.46120578050613403,0
