year,stored_water_mm_per_cell,input_mm_per_cell,output_mm_per_cell,water_error,nitrogen_gm2_per_cell,nitrogen_error,temperature_c,surface_water_mm,root_water_mm,groundwater_mm,snow_mm,live_biomass_gm2,dry_biomass_gm2,available_nitrogen_gm2,plant_nitrogen_gm2,organic_nitrogen_gm2,soil_depth_m,dust_gm2,non_finite
1,193.39647391438484,520.71461945615943,451.02601259983282,2.5132322955624912E-06,19.68503288179636,-1.9416513688572886E-07,-9.3872241973876953,0.61482375860214233,74.536209106445312,62.831718444824219,50.827224731445312,125.35735321044922,100.82578277587891,4.3540177345275879,2.256432056427002,13.074583053588867,1.5251787900924683,0.0037750720512121916,0
2,195.58257925510406,510.72964438948179,508.54559061818816,3.1780696318918246E-06,19.685033828020096,-1.4609696459627942E-07,-9.4175481796264648,2.2208070755004883,73.742347717285156,64.084724426269531,50.936820983886719,116.88551330566406,87.503952026367188,2.7690114974975586,2.1039390563964844,14.81208324432373,1.525168776512146,0.005460045300424099,0
3,197.14028503000736,511.0820499610486,509.52632522260183,3.3921946720758281E-06,19.68503550067544,-6.1126061612173909E-08,-9.4044361114501953,2.3197941780090332,74.245597839355469,64.693710327148438,51.308406829833984,98.157958984375,74.240921020507812,1.7799556255340576,1.7668429613113403,16.138236999511719,1.5251603126525879,0.012271812185645103,0
4,199.99266912043095,511.18898668099109,508.33841593273519,3.4286091232464428E-06,19.685034841299057,-9.4622386396554034E-08,-9.3716192245483398,2.3808197975158691,76.43756103515625,64.982559204101562,51.595138549804688,80.370361328125,60.556259155273438,1.2645233869552612,1.4466665983200073,16.973844528198242,1.5251537561416626,0.0034097894094884396,0
5,202.89064101874828,511.75499499154876,508.85855034297288,3.3440635013410273E-06,19.68503800034523,6.5857180932001598E-08,-9.3421297073364258,2.5396795272827148,78.563980102539062,65.317176818847656,51.872524261474609,68.048202514648438,50.381671905517578,1.0365076065063477,1.224867582321167,17.423662185668945,1.5251494646072388,0.0090769315138459206,0
6,205.61673705279827,511.65682134974759,508.93187306804566,3.1680904064251867E-06,19.685035441070795,-6.4153977976863632E-08,-9.3151388168334961,2.5873425006866455,80.3602294921875,65.742012023925781,52.345024108886719,61.326820373535156,44.460311889648438,0.94707226753234863,1.1038827896118164,17.63408088684082,1.525146484375,0.008520117960870266,0
7,207.20939753949642,511.84189757986178,510.25018844311035,2.9875705894910893E-06,19.685034532099962,-1.10329702538382E-07,-9.305211067199707,2.6142368316650391,81.452110290527344,66.009925842285156,52.525897979736328,58.342124938964844,41.57879638671875,0.91568148136138916,1.0501582622528076,17.719194412231445,1.5251443386077881,0.0037450399249792099,0
8,208.68673534691334,511.45836675717783,509.98193531861853,2.8404045262671555E-06,19.685038704425097,1.0162444298989903E-07,-9.2935771942138672,2.6574716567993164,82.152694702148438,66.300506591796875,52.977565765380859,57.262332916259766,40.431690216064453,0.90528380870819092,1.03072190284729,17.749032974243164,1.5251426696777344,0.011031217873096466,0
9,209.58346796035767,511.8270350216153,510.93109995452869,2.701837186749501E-06,19.685038015246391,6.6614160023174042E-08,-9.2928733825683594,2.6483299732208252,82.605682373046875,66.473152160644531,53.271511077880859,56.978191375732422,40.035335540771484,0.90211457014083862,1.0256072282791138,17.757316589355469,1.5251413583755493,0.0067363898269832134,0
10,210.57499848306179,511.46717746232844,510.47634921467034,2.5723211620566058E-06,19.685035765171051,-4.7689682743863233E-08,-9.2854652404785156,2.6499760150909424,83.036842346191406,66.651649475097656,53.6170654296875,57.035282135009766,39.993335723876953,0.90108984708786011,1.0266349315643311,17.75731086730957,1.5251404047012329,0.0039087380282580853,0
