year,stored_water_mm_per_cell,input_mm_per_cell,output_mm_per_cell,water_error,nitrogen_gm2_per_cell,nitrogen_error,temperature_c,surface_water_mm,root_water_mm,groundwater_mm,snow_mm,live_biomass_gm2,dry_biomass_gm2,available_nitrogen_gm2,plant_nitrogen_gm2,organic_nitrogen_gm2,soil_depth_m,dust_gm2,non_finite
1,148.31497677788138,261.12269460748826,235.75817897677643,2.5937451031949943E-06,19.837829675525427,-1.3356362133495271E-07,-9.8700532913208008,0.33431997895240784,64.563201904296875,53.324565887451172,25.672065734863281,119.94265747070312,102.60677337646484,4.3765816688537598,2.1589677333831787,13.302280426025391,1.5234168767929077,0.015679357573390007,0
2,143.82793330773711,258.86937248239008,263.35786864965451,3.8088726287432239E-06,19.83782790787518,-2.2266863128002836E-07,-9.9103803634643555,0.20942489802837372,61.976806640625,51.400218963623047,25.812597274780273,105.12140655517578,85.152359008789062,2.8532195091247559,1.8921852111816406,15.092423439025879,1.5234137773513794,0.01777040958404541,0
3,143.8136117067188,260.03444320679614,260.05042272209141,4.5480686007174667E-06,19.837830221280456,-1.0605280161534557E-07,-9.8990993499755859,0.21174108982086182,62.755016326904297,50.464786529541016,25.96379280090332,84.591117858886719,68.760383605957031,1.9295361042022705,1.5226401090621948,16.385654449462891,1.5234109163284302,0.032587170600891113,0
4,145.47205637395382,260.41296037264613,258.7560849690235,4.8789017316826548E-06,19.837833274155855,4.7838780365664956E-08,-9.8753528594970703,0.20701971650123596,64.586219787597656,50.255638122558594,26.002628326416016,67.9989013671875,54.655345916748047,1.4336230754852295,1.223980188369751,17.180229187011719,1.5234081745147705,0.015666360035538673,0
5,147.92631384544075,260.71676797859027,258.26402257556538,5.0474685527102513E-06,19.837837138213217,2.4262101759544306E-07,-9.8494586944580078,0.22090569138526917,66.690101623535156,50.451969146728516,26.138132095336914,56.935184478759766,44.879875183105469,1.1970703601837158,1.0248332023620605,17.615934371948242,1.5234057903289795,0.026029333472251892,0
6,150.14974405802786,260.79675829859889,258.57463469567256,5.0416796268856135E-06,19.837841028347611,4.3871776498247208E-07,-9.8261594772338867,0.2547605037689209,68.449142456054688,50.729110717773438,26.295623779296875,50.991035461425781,39.2598876953125,1.0854059457778931,0.91783857345581055,17.834596633911133,1.5234037637710571,0.03004511259496212,0
7,152.08337567560375,260.90906982889442,258.97657461947665,4.9496811055548199E-06,19.837843907997012,5.8387724377603048E-07,-9.8111238479614258,0.30609238147735596,69.765953063964844,51.096321105957031,26.487180709838867,48.428623199462891,36.520984649658203,1.0261954069137573,0.87171518802642822,17.939933776855469,1.5234020948410034,0.016641886904835701,0
8,153.59949122928083,260.95333815856043,259.43820986511696,4.8117526937640598E-06,19.837845200672746,6.4903939014260848E-07,-9.8011903762817383,0.44484764337539673,70.652328491210938,51.4332275390625,26.640913009643555,47.564914703369141,35.390285491943359,0.99051433801651001,0.85616844892501831,17.99116325378418,1.5234007835388184,0.032099690288305283,0
9,154.96359985880554,261.22346617980384,259.8602488375991,4.6635934047808957E-06,19.837844504974782,6.1397013701880895E-07,-9.7940769195556641,0.64540064334869385,71.270957946777344,51.689182281494141,26.931890487670898,47.396129608154297,35.004192352294922,0.96665960550308228,0.8531302809715271,18.018054962158203,1.5233995914459229,0.026763094589114189,0
10,156.0332592818886,260.74393766870253,259.67510259781693,4.5200646627538094E-06,19.837840816937387,4.2806084335047409E-07,-9.7873678207397461,0.87707096338272095,71.836273193359375,51.837501525878906,27.044166564941406,47.504863739013672,34.939830780029297,0.9504740834236145,0.85508745908737183,18.032279968261719,1.523398756980896,0.015892980620265007,0
11,157.12321136891842,260.92100932048879,259.83177664937784,4.366212736933716E-06,19.837841261178255,4.5045446281506894E-07,-9.7833623886108398,1.1195498704910278,72.239517211914062,51.976219177246094,27.323371887207031,47.734928131103516,35.015621185302734,0.93871122598648071,0.85922867059707642,18.039901733398438,1.5233980417251587,0.031035903841257095,0
12,157.51898261718452,260.38457329897165,259.98930092223691,4.1699002823489925E-06,19.837841275148094,4.5115866468502476E-07,-9.7776603698730469,1.3617743253707886,72.634597778320312,52.127094268798828,26.875741958618164,47.968452453613281,35.131443023681641,0.92975610494613647,0.86343204975128174,18.044652938842773,1.5233974456787109,0.019340537488460541,0
13,156.73124994896352,259.3998728104616,260.18800286893338,3.9749170956114685E-06,19.837841789238155,4.7707329349939872E-07,-9.7731094360351562,1.3731191158294678,72.9404296875,52.240203857421875,25.649688720703125,48.212879180908203,35.275814056396484,0.92254149913787842,0.86783170700073242,18.047468185424805,1.5233969688415527,0.019043104723095894,0
