year,stored_water_mm_per_cell,input_mm_per_cell,output_mm_per_cell,water_error,nitrogen_gm2_per_cell,nitrogen_error,temperature_c,surface_water_mm,root_water_mm,groundwater_mm,snow_mm,live_biomass_gm2,dry_biomass_gm2,available_nitrogen_gm2,plant_nitrogen_gm2,organic_nitrogen_gm2,soil_depth_m,dust_gm2,non_finite
1,114.21836299169809,100.51687954937235,83.145572914119015,1.0726391218703795E-06,19.834471703041345,-7.93698913730355E-07,-9.8411140441894531,0.13092856109142303,65.107078552246094,34.493648529052734,10.125533103942871,38.482395172119141,27.422750473022461,0.78446054458618164,0.69268310070037842,18.357328414916992,1.5233173370361328,0.085603691637516022,0
2,114.419707223773,99.358831958250121,99.15801575076884,2.4929842038938905E-06,19.834461295045912,-1.3184412576469157E-06,-9.8614006042480469,0.11365614831447601,63.812053680419922,35.926532745361328,10.210558891296387,42.837440490722656,31.441757202148438,0.83004462718963623,0.77107387781143188,18.233343124389648,1.5233168601989746,0.068714477121829987,0
3,113.37388781271875,99.437399556404415,100.48392387690717,3.6465929307015452E-06,19.834455339238048,-1.6187166179749909E-06,-9.8791465759277344,0.11981328576803207,62.354522705078125,36.253261566162109,10.293820381164551,43.063961029052734,32.520462036132812,0.84268474578857422,0.77515125274658203,18.216619491577148,1.5233162641525269,0.092740334570407867,0
4,112.33258007559925,99.521366607279617,100.56345203528093,4.4833744498175622E-06,19.834450363181531,-1.8695956250481585E-06,-9.8912763595581055,0.10982517153024673,61.268001556396484,36.236461639404297,10.36195182800293,41.745841979980469,31.972072601318359,0.851387619972229,0.75142514705657959,18.231637954711914,1.5233156681060791,0.069674849510192871,0
5,111.76489231549203,99.648035424529837,100.21653146679154,5.0906394767742479E-06,19.834445867687464,-2.0962460025780442E-06,-9.8996601104736328,0.12025720626115799,60.66656494140625,36.192089080810547,10.433597564697266,40.381462097167969,31.026212692260742,0.85908812284469604,0.72686630487442017,18.248491287231445,1.5233151912689209,0.074193485081195831,0
6,111.52633669041097,99.672084312805055,99.911451853689471,5.5287985046372169E-06,19.834442486986518,-2.2666915941325264E-06,-9.9024477005004883,0.13820859789848328,60.356792449951172,36.189579010009766,10.492433547973633,39.411911010742188,30.242099761962891,0.86526119709014893,0.70941436290740967,18.259767532348633,1.5233145952224731,0.088111132383346558,0
7,111.56032230798155,99.799407711667868,99.76621988252657,5.838332161062626E-06,19.834442361723632,-2.2730070024146416E-06,-9.9046173095703125,0.1480681449174881,60.1737060546875,36.314712524414062,10.571972846984863,38.799510955810547,29.703550338745117,0.86939394474029541,0.69839119911193848,18.266656875610352,1.5233141183853149,0.071026340126991272,0
8,111.68718567024916,99.77743225477866,99.651363160914229,6.0750186710693855E-06,19.834439177066088,-2.4335686278473003E-06,-9.9052724838256836,0.14906840026378632,60.09051513671875,36.445705413818359,10.651144981384277,38.425857543945312,29.359207153320312,0.87175005674362183,0.69166535139083862,18.271024703979492,1.5233135223388672,0.081362992525100708,0
9,111.95262157497928,99.90900725000688,99.644335266776011,6.2328612262054383E-06,19.834437610581517,-2.5125464474050521E-06,-9.9052629470825195,0.15131309628486633,60.106678009033203,36.612857818603516,10.730556488037109,38.188705444335938,29.125267028808594,0.87312602996826172,0.68739670515060425,18.273914337158203,1.523313045501709,0.091267436742782593,0
10,112.20699487905949,99.890244164559817,99.636623172071836,6.3513848239065433E-06,19.83443560404703,-2.6137103666899369E-06,-9.9048528671264648,0.15362454950809479,60.115398406982422,36.766387939453125,10.814767837524414,38.063961029052734,28.978376388549805,0.8735080361366272,0.68515121936798096,18.275775909423828,1.5233124494552612,0.069088280200958252,0
