year,stored_water_mm_per_cell,input_mm_per_cell,output_mm_per_cell,water_error,nitrogen_gm2_per_cell,nitrogen_error,temperature_c,surface_water_mm,root_water_mm,groundwater_mm,snow_mm,live_biomass_gm2,dry_biomass_gm2,available_nitrogen_gm2,plant_nitrogen_gm2,organic_nitrogen_gm2,soil_depth_m,dust_gm2,non_finite
1,176.68174525737763,423.54053792711403,374.13526771106359,2.3300516210030088E-06,19.602339901924132,-6.5557278546383458E-08,-9.5924510955810547,0.33948609232902527,69.740028381347656,61.706707000732422,40.385932922363281,124.33452606201172,101.50138092041016,4.2977175712585449,2.2380211353302002,13.066600799560547,1.5097967386245728,0.013144921511411667,0
2,172.5336359024048,417.66893870002474,421.81868159636656,3.011891202986485E-06,19.60233963727951,-7.9057942588403051E-08,-9.6201000213623047,0.32414749264717102,67.309013366699219,59.707660675048828,40.659305572509766,111.428466796875,86.691383361816406,2.7388789653778076,2.0057122707366943,14.857748031616211,1.5097899436950684,0.0087390691041946411,0
3,171.79872120380401,418.20385765983201,418.94029420379621,3.2010186376049586E-06,19.602340803146362,-1.9582044241127526E-08,-9.613551139831543,0.90374463796615601,66.717750549316406,58.670089721679688,41.00909423828125,90.025375366210938,70.714950561523438,1.8062173128128052,1.6204566955566406,16.175666809082031,1.5097837448120117,0.018271025270223618,0
4,174.12694444179536,418.93222134349315,416.60540712362183,3.238683397339264E-06,19.602341043949128,-7.2976562389295125E-09,-9.5938701629638672,1.6099998950958252,68.061759948730469,58.753391265869141,41.174671173095703,71.976699829101562,55.946800231933594,1.3232338428497314,1.2955805063247681,16.983526229858398,1.5097783803939819,0.011920925229787827,0
5,177.03214163303375,418.63204687315738,415.72806433891787,3.1752195405112821E-06,19.602343935966491,1.4023662739142881E-07,-9.5743608474731445,2.5257568359375,69.63330078125,58.978752136230469,41.372631072998047,60.117820739746094,45.720916748046875,1.1008090972900391,1.0821207761764526,17.419414520263672,1.5097744464874268,0.014343507587909698,0
6,179.40264959335326,419.37390408105625,417.0041379513417,2.9521269191305367E-06,19.602343800067903,1.3330385396444575E-07,-9.5556516647338867,2.8326079845428467,71.119285583496094,59.238731384277344,41.702358245849609,53.746559143066406,39.916595458984375,1.0007485151290894,0.96743810176849365,17.634157180786133,1.5097720623016357,0.024263478815555573,0
7,180.61694588661194,418.79903086703473,417.58534779248873,2.7486512318229559E-06,19.602349991798402,4.4917074150611148E-07,-9.5476093292236328,2.8984625339508057,71.789093017578125,59.50482177734375,41.896255493164062,50.890224456787109,37.078651428222656,0.94865590333938599,0.91602402925491333,17.7376708984375,1.5097700357437134,0.012143930420279503,0
8,181.66445060253145,419.25491044026916,418.20784828023517,2.5447756573528632E-06,19.602353069782257,6.0619197824707817E-07,-9.5423526763916016,2.9527678489685059,72.300636291503906,59.651786804199219,42.236747741699219,49.708892822265625,35.841224670410156,0.9163053035736084,0.8947598934173584,17.791288375854492,1.5097686052322388,0.015864431858062744,0
9,182.20376004695893,418.92405349272479,418.38512765367108,2.3698124366392485E-06,19.602353491783141,6.2772006415192021E-07,-9.5398435592651367,2.9407458305358887,72.433563232421875,59.829608917236328,42.489742279052734,49.381053924560547,35.351940155029297,0.89299076795578003,0.8888588547706604,17.820503234863281,1.5097675323486328,0.021360557526350021,0
10,182.86341981887819,419.1511036758672,418.49182598464193,2.2283162889100485E-06,19.602355904579163,7.5080719938186473E-07,-9.5377311706542969,2.9698891639709473,72.635902404785156,59.911872863769531,42.805217742919922,49.240997314453125,35.168567657470703,0.87473076581954956,0.88633793592453003,17.841287612915039,1.509766697883606,0.011127853766083717,0
