year,season,hours,hibernation_hours,distance_km,water_scarcity_hours,organic_scarcity_hours,nitrogen_scarcity_hours,thermal_scarcity_hours,water_min,water_mean,water_max,organic_min,organic_mean,organic_max,electricity_min,electricity_mean,electricity_max,organic_nitrogen_min,organic_nitrogen_mean,organic_nitrogen_max,structural_nitrogen_min,structural_nitrogen_mean,structural_nitrogen_max,heat_min,heat_mean,heat_max,body_temperature_min,body_temperature_mean,body_temperature_max,total_mass_min,total_mass_mean,total_mass_max,activities,actions
1,Winter,2160,0,343.314088,0,0,0,0,1547.481567,2145.32373,2787.684814,302.190979,858.493347,1995.494263,185.177979,276.660217,279.538605,7.266174,10.454352,17.807812,178.884003,179.954132,180.95166,0,0.092291,2.109898,17.999996,17.999998,18,18385.378906,19969.462891,22303.398438,"Travel:453|CollectWater:15|HarvestDryBiomass:236|DryOrganicMatter:2|CollectChitin:14","burn dry organic matter:720|heat caravan:720|reject heat:720|move:366|movement water loss:366|movement organic maintenance:366|maintain caravan water circuit:720|maintain living structure:720|circulate organic nitrogen:720|maintain electrical systems:720|grow Парус:343|grow Резервуар:353|grow Органическое хранилище:533|grow Каркас:350|capture dust:475|power intake and harvest:563|generate solar electricity:280|grow Солнечный лист:342|harvest dry biomass:234|grow Биореактор / топка:190|grow Сборщик сухой массы:189|grow Тепловой орган:10|withdraw surface water:9|grow Водозабор:8|grow Охлаждающий орган:2|collect chitin:9|grow Ростовая ткань:7|atrophy Парус:265|atrophy Солнечный лист:360|atrophy Водозабор:360|atrophy Снегосборник:360|atrophy Жатка живой массы:360|atrophy Сушильный орган:360|atrophy Электромотор:360|atrophy Тепловой орган:360|spoil wet organic matter:59|atrophy Сборщик сухой массы:95|atrophy Ростовая ткань:248|grow Снегосборник:1"
1,Spring,2208,0,381.303198,0,0,0,0,1614.319702,2076.654785,2535.177002,604.684937,780.381348,944.966064,255.792389,277.20108,279.526306,8.035691,9.326444,10.504383,179.902985,180.199173,180.583145,0,0.105632,3.7948,18,18,18,18573.455078,19195.429688,19715.195313,"Travel:446|CollectWater:20|HarvestDryBiomass:259|CollectChitin:11","harvest dry biomass:142|capture dust:381|burn dry organic matter:736|power intake and harvest:464|heat caravan:516|reject heat:736|spoil wet organic matter:736|move:308|movement water loss:308|movement organic maintenance:308|maintain caravan water circuit:736|maintain living structure:736|circulate organic nitrogen:736|maintain electrical systems:736|grow Сборщик сухой массы:259|grow Органическое хранилище:705|grow Биореактор / топка:259|atrophy Парус:217|atrophy Солнечный лист:349|atrophy Водозабор:736|atrophy Снегосборник:736|atrophy Жатка живой массы:736|atrophy Сушильный орган:736|atrophy Электромотор:736|atrophy Тепловой орган:736|grow Парус:446|grow Солнечный лист:446|grow Резервуар:466|grow Каркас:457|generate solar electricity:401|grow Водозабор:20|grow Тепловой орган:20|withdraw surface water:10|grow Ростовая ткань:11|collect chitin:6"
1,Summer,2208,0,443.350826,0,0,0,0,1735.817017,2206.012695,2663.737549,702.65918,883.995361,1072.558105,263.187714,276.86731,279.506836,9.153072,10.541239,11.814256,180.584274,181.034531,181.549576,0,0.114186,2.059779,18,18.456524,25.07029,18802.945313,19381.484375,19916.902344,"Travel:467|CollectWater:24|HarvestDryBiomass:232|CollectChitin:13","burn dry organic matter:736|reject heat:736|spoil wet organic matter:736|move:312|movement water loss:312|movement organic maintenance:312|maintain caravan water circuit:736|maintain living structure:736|circulate organic nitrogen:736|maintain electrical systems:736|grow Сборщик сухой массы:232|grow Органическое хранилище:699|grow Биореактор / топка:232|atrophy Водозабор:736|atrophy Снегосборник:736|atrophy Жатка живой массы:736|atrophy Сушильный орган:736|atrophy Электромотор:736|atrophy Тепловой орган:736|harvest dry biomass:118|power intake and harvest:431|grow Парус:467|grow Солнечный лист:467|grow Резервуар:491|grow Каркас:480|generate solar electricity:438|grow Водозабор:24|grow Тепловой орган:24|withdraw surface water:12|capture dust:343|collect chitin:8|grow Ростовая ткань:13|heat caravan:30"
1,Autumn,2184,30,357.873127,0,0,0,42,1882.396118,2290.571777,2707.966553,66.827026,1003.216797,1975.111328,0,233.167328,279.689789,10.262508,14.610293,18.306303,180.948593,181.479126,181.889221,0,0.171205,3.675074,8.238881,17.767042,18.000004,19096.257813,21118.632813,22163.853516,"Hibernate:10|Travel:215|CollectWater:20|HarvestLiveBiomass:15|HarvestDryBiomass:101|DryOrganicMatter:362|CollectChitin:5","burn dry organic matter:355|reject heat:418|spoil wet organic matter:563|move:219|movement water loss:219|movement organic maintenance:219|maintain caravan water circuit:728|maintain living structure:728|circulate organic nitrogen:728|maintain electrical systems:712|grow Парус:154|grow Солнечный лист:160|grow Резервуар:160|grow Органическое хранилище:239|grow Каркас:158|atrophy Водозабор:728|atrophy Снегосборник:728|atrophy Жатка живой массы:728|atrophy Сушильный орган:728|atrophy Электромотор:728|atrophy Тепловой орган:728|capture dust:249|power intake and harvest:305|heat caravan:692|generate solar electricity:318|grow Сборщик сухой массы:85|grow Биореактор / топка:85|harvest dry biomass:68|grow Водозабор:6|grow Тепловой орган:6|withdraw surface water:10|harvest live biomass:25|grow Ростовая ткань:4|grow Жатка живой массы:8|collect chitin:2|grow Охлаждающий орган:6|atrophy Сборщик сухой массы:495|atrophy Охлаждающий орган:258|atrophy Биореактор / топка:198|atrophy Парус:267|atrophy Ростовая ткань:278|enter hibernation:1|hibernate:10|collect snow:4|melt collected snow:3|leave hibernation:1|dry wet organic matter:1|atrophy Солнечный лист:127"
