year,season,organ,size_unit,size_min,size_mean,size_max,function_min,function_mean,function_max,mean_usage,active_fraction
1,Autumn,DryBiomassCollector,"кг/ч",37.618664,37.82465,38.021183,0.976356,0.995662,1,0.071741,0.078297
1,Autumn,Dryer,"кг сух. в-ва/ч",28.098465,28.680084,29.270412,0.976356,0.995662,1,0.000219,0.001374
1,Autumn,OrganicStorage,"кг",3675.564697,3783.212646,3827.334473,0.976356,0.995662,1,0.26279,0.986264
1,Autumn,Furnace,"кВт",78.145744,78.406898,78.512596,0.976356,0.995662,1,0.157289,0.487637
1,Autumn,Battery,"кВт·ч",280,280,280,0.976356,0.995662,1,0.289252,0.784341
1,Autumn,ElectricMotor,"кВт",114.364151,116.686798,119.0383,0.976356,0.995662,1,0.002517,0.101648
1,Autumn,ThermalOrgan,"кВт",57.522087,58.606136,59.767071,0.976356,0.995662,1,0.013596,0.623626
1,Autumn,Radiator,"кВт",79.829323,80.041496,80.145439,0.976356,0.995662,1,0.126291,0.553571
1,Autumn,GrowthTissue,"кг структуры/сут",2.360178,2.410354,2.436323,0.976356,0.995662,1,0.115346,0.351648
1,Autumn,Frame,"кг несущей способности",32326.515625,32358.744141,32370.484375,0.976356,0.995662,1,0.646705,0.986264
