file	phase	waypoint	world_x_m	world_z_m	hour	macro_hour	surface_temp_c	air_temp_c	wind_x_ms	wind_z_ms	humidity_mm	precipitation_mm_h	surface_water_mm	root_water_mm	snow_mm	live_biomass_g_m2	dry_biomass_g_m2	crust_fraction	dust_g_m2	burn_fraction	Elevation	Slope	Aspect	FaultInfluence	RockHardness	DepressionStorage	Drainage	Catchments	SoilDepth	SandFraction	SiltFraction	ClayFraction	Porosity	Permeability	MineralContent	SoilCompaction	SolarRadiation	SurfaceTemperature	SoilTemperature	AirTemperature	Pressure	Wind	Humidity	CloudWater	Precipitation	SurfaceWater	RootWater	Groundwater	Snow	FrozenSoil	LiveBiomass	DryBiomass	LitterBiomass	SeedBank	SoilOrganicMatter	AvailableNitrogen	PlantNitrogen	OrganicNitrogen	FireIntensity	BurnScar	LooseSediment	SurfaceCrust	Dust
waypoint-01-night.png	night	1	32	-64	0.008415	1	-5.339901	-6.12288	5.209643	0.130291	6.909363	0.001349	0	44.571495	5.927634	26.716261	24.164194	0.495856	0	0	437.056976	0.025394	2.058607	0	0.40508	0	0	122	1.565737	0.321519	0.40445	0.27403	0.375767	9.304843	0.402127	0	0	-6.841813	0.724705	-6.564953	956.843323	4.382782	5.026019	1.575395	0.141955	0	44.571495	25.323042	6.067247	0.020085	26.716261	24.164194	53.407108	0.365924	1447.77002	0.627033	0.480893	18.801256	0	0	5.174603	0.495856	0
waypoint-02-night.png	night	2	512.360107	-277.870148	0.008415	1	-6.085924	-6.54382	4.583896	-0.396637	6.629446	0.000842	0	44.465565	6.006868	26.792713	24.269735	0.495417	0	0	445.728271	0.011518	-2.630927	0	0.411626	0	0	122	1.582646	0.327477	0.39907	0.273453	0.375629	9.456388	0.401054	0	0	-6.905619	0.694525	-6.6307	955.538513	4.348444	4.997146	1.58361	0.11439	0	44.465565	25.267511	6.120577	0.023786	26.792713	24.269735	53.580624	0.366945	1452.210083	0.629279	0.482269	18.842289	0	0	5.14187	0.495417	0
waypoint-03-night.png	night	3	1024.216675	-505.763428	0.008415	1	-5.110951	-6.068164	5.505744	-0.159202	6.930948	0.001582	0	45.182674	6.184976	27.183704	24.142805	0.492574	0	0	453.266754	0.028824	0.10754	0	0.424801	0	0	122	1.605936	0.344654	0.385765	0.269581	0.374699	9.903234	0.397962	0	0	-6.870146	0.669911	-6.627519	954.535767	4.421749	5.027485	1.582271	0.152015	0	45.182674	25.676138	6.334273	0.02699	27.183704	24.142805	53.728893	0.367817	1456.003906	0.631197	0.489307	18.87149	0	0	5.075994	0.492574	0
waypoint-04-night.png	night	4	1536.661987	-733.918579	0.008415	1	-5.496992	-6.2804	5.209518	-0.308409	7.015849	0.001371	0	46.661331	6.505141	27.94632	24.000034	0.497157	0	0	467.818146	0.018046	1.383512	0	0.449072	0	0	122	1.656064	0.371619	0.350772	0.277608	0.376626	10.541241	0.393109	0	0	-6.819982	0.62207	-6.622945	952.987793	4.476944	5.111765	1.681944	0.154393	0	46.661331	26.325497	6.657232	0.033177	27.94632	24.000034	54.134274	0.370202	1466.377075	0.636444	0.503034	18.956842	0	0	4.95464	0.497157	0
waypoint-05-night.png	night	5	2046.673096	-960.990173	0.008415	1	-5.659211	-6.360581	4.993686	-0.698462	7.082123	0.001306	0	47.911213	6.704291	28.434587	23.679754	0.495228	0	0	471.380585	0.014213	-1.137164	0	0.45289	0	0	122	1.664156	0.381698	0.343036	0.275266	0.376064	10.803748	0.391294	0	0	-6.70669	0.61216	-6.556424	952.934875	4.340321	5.199966	1.763951	0.164292	0	47.911213	26.956203	6.867818	0.034677	28.434587	23.679754	54.140076	0.370236	1466.525513	0.636519	0.511823	18.949472	0	0	4.93555	0.495228	0
waypoint-06-night.png	night	6	2559.800751	-1189.449402	0.008415	1	-4.97394	-5.940183	5.612364	-0.518581	7.496619	0.001929	0	49.242737	6.798986	28.429996	22.917271	0.490871	0	0	463.107056	0.025342	-0.538218	0	0.430741	0	0	168.638351	1.618168	0.405647	0.325795	0.268558	0.374454	11.432667	0.386984	0	0	-6.503407	0.643496	-6.403473	954.47052	4.170862	5.306578	1.814478	0.206972	0	49.242737	27.690802	7.005335	0.031124	28.429996	22.917271	53.291317	0.365243	1444.807251	0.625535	0.51174	18.742107	0	0	5.046293	0.490871	0
waypoint-07-night.png	night	7	3071.844788	-1417.426117	0.008415	1	-5.14855	-5.984591	5.309014	-0.48464	7.632208	0.002085	0	51.394196	6.992412	28.891659	22.142796	0.491481	0	0	456.222626	0.024898	0.745978	0	0.413257	0	0	170.195862	1.583605	0.412089	0.317823	0.270088	0.374821	11.586824	0.385824	0	0	-6.237577	0.671295	-6.189115	956.088074	4.336184	5.478575	2.01836	0.266518	0	51.394196	28.752821	7.257418	0.028153	28.891659	22.142796	52.773891	0.362199	1431.567261	0.618839	0.52005	18.607332	0	0	5.133713	0.491481	0
waypoint-08-night.png	night	8	3583.745728	-1645.339294	0.008415	1	-5.305003	-6.102663	5.037021	-1.0992	7.309355	0.002167	0	50.841621	6.870217	28.599731	22.30197	0.497432	0	0	453.044769	0.03977	1.092569	0	0.413185	0	0	172	1.57956	0.41065	0.310481	0.278869	0.376929	11.511334	0.386083	0.000001	0	-6.291955	0.680968	-6.205391	957.600647	4.203307	5.42261	1.899941	0.281385	0	50.841621	28.424543	7.150402	0.026808	28.594982	22.300518	52.736488	0.361972	1430.562988	0.618331	0.51471	18.603079	0	0	5.134075	0.497413	0
waypoint-09-night.png	night	9	4094.769409	-1872.861877	0.008415	1	-5.148845	-5.991509	5.240247	-1.000072	7.430112	0.002017	0.032802	50.698872	6.850948	28.772755	22.586128	0.503061	0	0	454.837769	0.033739	1.212556	0	0.420596	1.654036	0	172	1.596084	0.387507	0.324741	0.287752	0.37906	10.892791	0.390249	0	0	-6.332884	0.674233	-6.23957	958.729675	4.211116	5.374272	1.857287	0.246858	0	50.731674	28.382322	7.09536	0.027578	28.772755	22.586128	53.177525	0.364574	1441.895508	0.624062	0.51791	18.708126	0	0	5.097021	0.503061	0
waypoint-09-day.png	day	9	4094.769409	-1872.861877	12.019517	13	-7.908232	-8.31458	-0.418644	-2.572087	3.335574	0.115502	0	50.776638	9.486488	28.762789	22.525248	0.501306	0	0	454.837769	0.033739	1.212556	0	0.420596	1.654036	0	172	1.596084	0.387507	0.324741	0.287752	0.37906	10.892791	0.390249	0	58.688618	-7.944713	-1.230641	-8.61975	955.174622	2.314453	3.24368	1.528089	0.081556	0	50.802345	28.412289	9.540558	0.133984	28.762789	22.525248	53.248341	0.364506	1441.895508	0.624063	0.51773	18.708305	0	0	5.097021	0.501306	0
