year,day,elapsed_hours,temperature_c,precipitation_mm_h,surface_water_mm,root_water_mm,groundwater_mm,snow_mm,live_biomass_gm2,dry_biomass_gm2,soil_compaction,dust_gm2,climate_temperature_offset_c,climate_moisture_multiplier,climate_wind_multiplier,climate_storm_frequency,climate_storm_intensity,climate_phase_shift_days,heatwave,cold_snap,rain_burst,wind_storm
1,15,360,-10.467267036437988,0.014192207716405392,0.013376695103943348,52.636913299560547,30.340080261230469,10.596638679504395,25.803525924682617,23.49787712097168,2.1509899852389935E-06,0.4579789936542511,-0.73960524797439575,0.94848209619522095,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0
1,30,720,-9.0053529739379883,0.015977073460817337,0.083669058978557587,52.636878967285156,30.341098785400391,11.104350090026855,22.701427459716797,24.401805877685547,3.8855487218825147E-06,0.48102083802223206,-0.76327866315841675,0.94324588775634766,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0
1,45,1080,-6.7392702102661133,0.007107290904968977,0.01996757835149765,54.215118408203125,30.342704772949219,10.217772483825684,20.057210922241211,24.791278839111328,5.647074431180954E-06,0.47371608018875122,-0.83640152215957642,0.9311034083366394,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0
1,60,1440,-3.2774851322174072,0.005561640951782465,0,61.008186340332031,30.429279327392578,3.9103691577911377,18.484590530395508,24.12360954284668,8.4445755419437774E-06,0.42949786782264709,-0.94967031478881836,0.91229456663131714,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0
1,75,1800,0.5451628565788269,0.0031106665264815092,0,63.245365142822266,31.046592712402344,1.6117918491363525,18.246171951293945,22.256618499755859,1.3160436537873466E-05,0.35581111907958984,-1.081578254699707,0.89039069414138794,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0
1,90,2160,5.6660590171813965,0.00022625457495450974,0.001298688817769289,62.819938659667969,33.383510589599609,0,19.199590682983398,20.335136413574219,1.8884380551753566E-05,0.27313575148582458,-1.2106186151504517,0.86896288394927979,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0
1,105,2520,9.9221181869506836,9.2804501861110111E-09,0.00060298317112028599,62.554454803466797,33.605884552001953,0,22.801477432250977,18.579421997070312,2.4556426069466397E-05,0.1777341216802597,-1.3152846097946167,0.85158252716064453,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0
1,120,2880,14.039416313171387,0,0.00031551177380606532,62.263267517089844,33.622344970703125,0,27.840755462646484,16.975606918334961,3.017464950971771E-05,0.085676863789558411,-1.3740696907043457,0.84182101488113403,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0
1,135,3240,17.620687484741211,0,0.00011895120405824855,61.844375610351562,33.608005523681641,0,32.536972045898438,15.620985984802246,3.5737895814236253E-05,0.023489348590373993,-1.3387799263000488,0.84693354368209839,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0
1,150,3600,20.481876373291016,0,8.2699385529849678E-05,61.319133758544922,33.587718963623047,0,35.307098388671875,15.072957992553711,4.1247189074056223E-05,0.0020226563792675734,-1.1209973096847534,0.87914001941680908,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0
1,165,3960,22.371419906616211,0,8.50594078656286E-05,60.73345947265625,33.564754486083984,0,36.714004516601562,15.165621757507324,4.6704662963747978E-05,1.5313908079406247E-05,-0.78499734401702881,0.9288288950920105,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0
1,180,4320,23.093833923339844,0,9.4368719146586955E-05,60.123920440673828,33.538722991943359,0,37.823024749755859,15.448954582214355,5.2112103730905801E-05,9.7567436796452967E-08,-0.40959161520004272,0.98434531688690186,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0
1,195,4680,27.219989776611328,0,9.1368747234810144E-05,59.518955230712891,33.507896423339844,0,38.862190246582031,15.797933578491211,5.7470129831926897E-05,4.6527845465327289E-10,3.8073453903198242,1.0340341329574585,0.99728578329086304,1.1382597684860229,0.97423553466796875,9.4253749847412109,1,0,0,0
1,210,5040,21.170186996459961,0,0.00012907061318401247,59.027858734130859,33.502326965332031,0,39.208763122558594,16.416530609130859,6.27799381618388E-05,1.7208215104605462E-12,0.99177873134613037,1.0662407875061035,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0
1,225,5400,17.641851425170898,0,0.00014969756011851132,58.534347534179688,33.460212707519531,0,43.575481414794922,15.606398582458496,6.8039094912819564E-05,5.8002550414840582E-15,0.18138110637664795,1.0733007192611694,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0
1,240,5760,13.815563201904297,0.0001244549494003877,0.00018695888866204768,58.424972534179688,33.413120269775391,0,49.678077697753906,14.288982391357422,7.3239440098404884E-05,2.8323246508966905E-17,0.14251017570495605,1.0829073190689087,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0
