year,day,elapsed_hours,temperature_c,precipitation_mm_h,surface_water_mm,root_water_mm,groundwater_mm,snow_mm,live_biomass_gm2,dry_biomass_gm2,soil_compaction,dust_gm2,fire_intensity,burn_scar,climate_temperature_offset_c,climate_moisture_multiplier,climate_wind_multiplier,climate_storm_frequency,climate_storm_intensity,climate_phase_shift_days,heatwave,cold_snap,rain_burst,wind_storm
1,30,720,-9.0133371353149414,0.017735790461301804,0.064390048384666443,52.641704559326172,30.341081619262695,11.366737365722656,22.744081497192383,24.420063018798828,0,1.5248363018035889,0,0,-0.76327866315841675,0.94324588775634766,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0
1,60,1440,-3.2949271202087402,0.0045772343873977661,0,61.229408264160156,30.416666030883789,4.3023824691772461,18.537357330322266,24.173051834106445,0,1.245197057723999,0,0,-0.94967031478881836,0.91229456663131714,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0
1,90,2160,5.6539864540100098,0.00017926935106515884,0.0011346901301294565,63.319713592529297,33.891822814941406,0,19.264633178710938,20.395866394042969,0,0.79374784231185913,0,0,-1.2106186151504517,0.86896288394927979,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0
1,120,2880,14.030715942382812,0,0.00033465982414782047,62.811260223388672,34.174850463867188,0,27.956222534179688,17.03802490234375,0,0.40120986104011536,0,0,-1.3740696907043457,0.84182101488113403,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0
1,150,3600,20.49064826965332,0,6.9510540924966335E-05,61.860198974609375,34.152606964111328,0,35.501987457275391,15.137696266174316,0,0.27343538403511047,0,0,-1.1209973096847534,0.87914001941680908,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0
1,180,4320,23.102458953857422,0,8.4468018030747771E-05,60.648094177246094,34.114772796630859,0,38.077083587646484,15.530949592590332,0,0.15426360070705414,5.0856388043030165E-06,3.2824405593601114E-07,-0.40959161520004272,0.98434531688690186,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0
1,210,5040,21.147848129272461,0,0.00010413465497549623,59.573799133300781,34.102302551269531,0,39.528865814208984,16.517187118530273,0,0.093929968774318695,0,1.7323357042187126E-06,0.99177873134613037,1.0662407875061035,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0
1,240,5760,13.83414363861084,0.0001065994511009194,0.00017176507390104234,58.925575256347656,34.027664184570312,0,50.118045806884766,14.38957691192627,0,0.18631339073181152,0,1.6060981806731434E-06,0.14251017570495605,1.0829073190689087,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0
1,270,6480,4.6257038116455078,0.00010416238364996389,0.0005713704158551991,59.381626129150391,33.93634033203125,0,58.707614898681641,12.041899681091309,0,0.5034911036491394,0,1.4805109458393417E-06,-0.0016244649887084961,1.1185290813446045,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0
1,300,7200,-3.0032162666320801,0.0031719044782221317,0.0029274483676999807,60.115692138671875,33.871242523193359,0.0067670238204300404,59.305091857910156,10.341599464416504,0,0.9320036768913269,0,1.3614304634756991E-06,-0.12079089879989624,1.1479800939559937,0.99728578329086304,1.1382597684860229,2.0723745822906494,9.4253749847412109,0,0,1,0
1,330,7920,-8.3770360946655273,0.0060202344320714474,0.0042385272681713104,61.237472534179688,33.931568145751953,0.67664402723312378,50.424247741699219,16.903770446777344,0,1.7472476959228516,0,1.2544172705020173E-06,-0.23948147892951965,1.1146963834762573,1.059471607208252,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0
1,360,8640,-9.800572395324707,0.013809251599013805,0.018312100321054459,61.2635498046875,33.783695220947266,1.8189163208007812,39.202938079833984,24.340373992919922,0,1.6454924345016479,0,1.1625321576502756E-06,0.26229840517044067,0.85051929950714111,1.0027369260787964,0.97126328945159912,1.0108325481414795,9.8919343948364258,0,0,0,0
