year,stored_water_mm_per_cell,input_mm_per_cell,output_mm_per_cell,water_error,nitrogen_gm2_per_cell,nitrogen_error,climate_temperature_anomaly_c,climate_moisture_multiplier,climate_wind_multiplier,climate_storm_frequency,climate_storm_intensity,climate_phase_shift_days,severe_heat,severe_cold,severe_drought,extreme_wet,severe_wind,temperature_c,surface_water_mm,root_water_mm,groundwater_mm,snow_mm,live_biomass_gm2,dry_biomass_gm2,available_nitrogen_gm2,plant_nitrogen_gm2,organic_nitrogen_gm2,soil_compaction,soil_depth_m,dust_gm2,fire_intensity,burn_scar,non_finite
1,233.93818652629852,1878.8641489717218,1740.5082365742282,9.7600497337677867E-07,19.872267156839371,2.9034162638050377E-06,-0.59993124008178711,0.90255343914031982,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0,0,-9.5208978652954102,3.0168330669403076,92.677925109863281,60.444068908691406,73.125099182128906,36.553215026855469,23.416336059570312,0.87835025787353516,0.65795803070068359,18.335958480834961,0.029302032664418221,1.537090539932251,8.5466544987866655E-06,0,0,0
2,200.85571134090424,1431.8356481324829,1464.9208796703037,1.3749368449232111E-06,19.872320175170898,5.5713798657209274E-06,0.43707931041717529,0.74671679735183716,1.0037463903427124,0.94033801555633545,1.0475691556930542,9.9783344268798828,0,0,0,0,0,-8.1252613067626953,2.6633470058441162,92.176803588867188,56.909591674804688,42.811817169189453,49.626003265380859,27.505123138427734,0.94743984937667847,0.8932679295539856,18.031612396240234,0.049860324710607529,1.5370886325836182,0.0064777755178511143,0,0,0
3,163.82750034332275,895.63410013952944,932.6653794437093,1.8019249646793596E-06,19.87236824631691,7.9903935193973352E-06,0.9590333104133606,0.71359556913375854,0.96214854717254639,1.151714563369751,1.0317662954330444,1.3861122131347656,0,0,0,0,0,-3.8602316379547119,0.69736605882644653,89.204170227050781,51.492996215820312,17.496040344238281,58.910896301269531,31.556756973266602,0.99889206886291504,1.0603960752487183,17.813079833984375,0.063341729342937469,1.5370876789093018,0.0061295870691537857,0,0,0
4,145.26475703716278,599.46740295931431,618.03442022567651,2.453529992234265E-06,19.872423768043518,1.0784331793916335E-05,5.7839756011962891,0.77621561288833618,1.0454308986663818,1.0085256099700928,1.0994127988815308,4.0551657676696777,1,0,0,0,0,-7.2565321922302246,0.091087296605110168,86.492149353027344,42.573394775390625,11.160868644714355,73.458847045898438,24.857666015625,1.2556620836257935,1.3222591876983643,17.294502258300781,0.072104841470718384,1.5370874404907227,1.3029546607867815E-05,0,0,0
5,160.21455323696136,874.32024608214124,859.37359394739906,2.6264776492063447E-06,19.872476875782013,1.3456794491282336E-05,1.1425231695175171,0.79255056381225586,1.0059746503829956,1.2003706693649292,0.81111901998519897,-5.0759706497192383,0,0,0,0,0,-8.6301136016845703,0.050839226692914963,82.43988037109375,41.164398193359375,31.566768646240234,71.529518127441406,43.800350189208984,1.0803190469741821,1.2875308990478516,17.504627227783203,0.076476015150547028,1.5370872020721436,0.0037153996527194977,0,0,0
6,180.29686653614044,1324.9122352797249,1304.8329023860779,2.5561391077782616E-06,19.872520327568054,1.5643354880036337E-05,0.67243671417236328,0.7945026159286499,0.9336090087890625,1.2287269830703735,0.97322851419448853,-0.52393007278442383,0,0,0,0,0,-7.1077489852905273,2.5241198539733887,88.578483581542969,55.336597442626953,28.034280776977539,70.781524658203125,40.065807342529297,1.0119266510009766,1.2740668058395386,17.586526870727539,0.079695835709571838,1.5370851755142212,0.0042423950508236885,0,0,0
7,166.98181211948395,1052.9963795346985,1066.3147210177485,2.629169474742037E-06,19.8725705742836,1.8171846522998783E-05,1.5286036729812622,0.81815534830093384,0.92501038312911987,1.0692309141159058,0.90733432769775391,-2.9499673843383789,0,0,0,0,0,-5.173579216003418,1.6385011672973633,86.55743408203125,49.959365844726562,21.935209274291992,69.095207214355469,38.173702239990234,1.0414435863494873,1.2437136173248291,17.587413787841797,0.081714332103729248,1.5370843410491943,1.5919908037176356E-05,0,0,0
8,164.20541059970856,964.6935184142485,967.47370593326286,2.7662186983951359E-06,19.872612237930298,2.0268425002750559E-05,4.4619688987731934,0.93604212999343872,1.0440521240234375,1.0425615310668945,0.78853374719619751,-1.0737347602844238,1,0,0,0,0,-7.8029403686523438,0.69307047128677368,86.418373107910156,47.858222961425781,23.947879791259766,74.90673828125,31.757801055908203,1.20894455909729,1.3483211994171143,17.315345764160156,0.082725651562213898,1.5370839834213257,0.0036405520513653755,0,0,0
9,224.01551234722137,1588.575964680278,1528.7687285809607,2.6234413119735388E-06,19.872652769088745,2.2308014940134264E-05,1.3911352157592773,0.97963917255401611,1.0540831089019775,1.1083544492721558,0.90668165683746338,-9.9238519668579102,0,0,0,0,0,-8.1017665863037109,2.570512056350708,87.950546264648438,52.459671020507812,75.345733642578125,66.262054443359375,45.228141784667969,1.080380916595459,1.1927170753479004,17.599554061889648,0.083101220428943634,1.5370827913284302,0.0050530540756881237,0,0,0
10,299.92359924316406,2378.3479720381056,2302.4426022102725,2.3542531691041905E-06,19.872701823711395,2.4776518643761894E-05,0.78083473443984985,1.0848779678344727,1.1553343534469604,1.0324153900146484,1.0690408945083618,-7.7137184143066406,0,0,0,0,0,-9.7832622528076172,3.4752964973449707,94.778549194335938,69.592979431152344,126.50244140625,63.655437469482422,44.085704803466797,1.0070276260375977,1.1457977294921875,17.719877243041992,0.084100008010864258,1.5370776653289795,2.4189450414269231E-05,0,0,0
