year,season,organ,size_unit,size_min,size_mean,size_max,function_min,function_mean,function_max,mean_usage,active_fraction
1,Autumn,DryBiomassCollector,"кг/ч",37.585205,37.815163,38.017418,0.961876,0.992443,1,0.068223,0.078297
1,Autumn,Dryer,"кг сух. в-ва/ч",28.097549,28.679989,29.270412,0.961876,0.992443,1,0,0
1,Autumn,OrganicStorage,"кг",3688.87085,3784.031494,3824.858154,0.961876,0.992443,1,0.267095,0.98489
1,Autumn,Furnace,"кВт",78.163162,78.40741,78.492073,0.961876,0.992443,1,0.149086,0.458791
1,Autumn,Battery,"кВт·ч",280,280,280,0.961876,0.992443,1,0.281727,0.76511
1,Autumn,ElectricMotor,"кВт",114.399353,116.718414,119.067368,0.961876,0.992443,1,0.002718,0.090659
1,Autumn,ThermalOrgan,"кВт",57.521282,58.606232,59.768024,0.961876,0.992443,1,0.013334,0.604396
1,Autumn,Radiator,"кВт",79.79715,80.053108,80.170448,0.961876,0.992443,1,0.120417,0.531593
1,Autumn,GrowthTissue,"кг структуры/сут",2.454348,2.4664,2.469202,0.961876,0.992443,1,0.099621,0.302198
1,Autumn,Frame,"кг несущей способности",32335.21875,32360.462891,32370.162109,0.961876,0.992443,1,0.652947,0.98489
2,Winter,Sail,"м²",234.958069,263.659821,316.042236,0.985602,0.994451,0.999988,0.142057,0.266667
2,Winter,SolarLeaf,"м²",141.390961,151.368454,168.626709,0.985602,0.994451,0.999988,0.033705,0.284722
2,Winter,WaterIntake,"л/ч",250.129776,254.376038,258.778961,0.985602,0.994451,0.999988,0.015278,0.015278
2,Winter,SnowCollector,"м²",55.104359,61.124115,64.937653,0.985602,0.994451,0.999988,0,0
2,Winter,WaterReservoir,"л",6113.944336,6580.902832,7436.056152,0.985602,0.994451,0.999988,0.374932,1
2,Winter,LiveBiomassHarvester,"кг сух. в-ва/ч",20.868212,23.039997,24.428276,0.985602,0.994451,0.999988,0,0
2,Winter,DryBiomassCollector,"кг/ч",37.832928,39.706997,42.924343,0.985602,0.994451,0.999988,0.159724,0.233333
2,Winter,Dryer,"кг сух. в-ва/ч",23.5112,26.079632,27.706743,0.985602,0.994451,0.999988,0,0
2,Winter,OrganicStorage,"кг",3876.192139,4330.019531,5144.141602,0.985602,0.994451,0.999988,0.29071,1
2,Winter,Furnace,"кВт",78.796234,80.674423,83.772522,0.985602,0.994451,0.999988,0.316667,1
2,Winter,Battery,"кВт·ч",280,280,280,0.985602,0.994451,0.999988,0.284146,0.558333
2,Winter,ElectricMotor,"кВт",96.393417,106.442184,112.836952,0.985602,0.994451,0.999988,0.002631,0.075
2,Winter,ThermalOrgan,"кВт",49.132542,53.911957,56.870609,0.985602,0.994451,0.999988,0.030031,1
2,Winter,Radiator,"кВт",79.79715,82.553177,87.709557,0.985602,0.994451,0.999988,0.221339,1
2,Winter,GrowthTissue,"кг структуры/сут",2.531269,2.986503,3.764251,0.985602,0.994451,0.999988,0.122988,0.3375
2,Winter,Frame,"кг несущей способности",32387.396484,32522.427734,32765.890625,0.985602,0.994451,0.999988,0.697824,1
2,Spring,Sail,"м²",239.99884,244.135849,249.566406,0.995582,0.997979,0.999298,0.264812,0.403533
2,Spring,SolarLeaf,"м²",140.949158,142.316162,146.147308,0.995582,0.997979,0.999298,0.230065,0.501359
2,Spring,WaterIntake,"л/ч",247.408264,249.594315,252.87645,0.995582,0.997979,0.999298,0.017898,0.02038
2,Spring,SnowCollector,"м²",60.674999,61.946781,63.236183,0.995582,0.997979,0.999298,0,0
2,Spring,WaterReservoir,"л",6183.096191,6249.266602,6348.560059,0.995582,0.997979,0.999298,0.375143,1
2,Spring,LiveBiomassHarvester,"кг сух. в-ва/ч",22.833115,23.311291,23.795664,0.995582,0.997979,0.999298,0,0
2,Spring,DryBiomassCollector,"кг/ч",38.365913,38.801888,39.380127,0.995582,0.997979,0.999298,0.165698,0.171196
2,Spring,Dryer,"кг сух. в-ва/ч",25.88801,26.430639,26.980785,0.995582,0.997979,0.999298,0,0
2,Spring,OrganicStorage,"кг",3966.708008,4042.01001,4152.745605,0.995582,0.997979,0.999298,0.276294,1
2,Spring,Furnace,"кВт",79.487122,80.017624,80.579376,0.995582,0.997979,0.999298,0.321781,1
2,Spring,Battery,"кВт·ч",280,280,280,0.995582,0.997979,0.999298,0.480836,0.672554
2,Spring,ElectricMotor,"кВт",105.668457,107.773987,109.935265,0.995582,0.997979,0.999298,0.006217,0.195652
2,Spring,ThermalOrgan,"кВт",53.71072,54.738934,55.705708,0.995582,0.997979,0.999298,0.006508,0.309783
2,Spring,Radiator,"кВт",79.994644,80.586891,82.011681,0.995582,0.997979,0.999298,0.278206,1
2,Spring,GrowthTissue,"кг структуры/сут",2.599855,2.677709,3.030851,0.995582,0.997979,0.999298,0.231816,0.540761
2,Spring,Frame,"кг несущей способности",32411.564453,32431.310547,32465.314453,0.995582,0.997979,0.999298,0.67748,1
2,Summer,Sail,"м²",249.647827,260.595367,272.881348,0.9993,0.99968,0.999889,0.285844,0.396739
2,Summer,SolarLeaf,"м²",146.161957,153.7948,161.717697,0.9993,0.99968,0.999889,0.328202,0.552989
2,Summer,WaterIntake,"л/ч",247.878632,250.327576,252.804504,0.9993,0.99968,0.999889,0.019022,0.019022
2,Summer,SnowCollector,"м²",58.214264,59.434475,60.671585,0.9993,0.99968,0.999889,0,0
2,Summer,WaterReservoir,"л",6349.628906,6554.793945,6777.098145,0.9993,0.99968,0.999889,0.372509,1
2,Summer,LiveBiomassHarvester,"кг сух. в-ва/ч",21.907175,22.366343,22.831831,0.9993,0.99968,0.999889,0,0
2,Summer,DryBiomassCollector,"кг/ч",39.380127,40.25177,41.121223,0.9993,0.99968,0.999889,0.154163,0.169837
2,Summer,Dryer,"кг сух. в-ва/ч",24.838093,25.358721,25.886555,0.9993,0.99968,0.999889,0,0
2,Summer,OrganicStorage,"кг",4153.458008,4354.171387,4566.33252,0.9993,0.99968,0.999889,0.256988,1
2,Summer,Furnace,"кВт",80.579376,81.305588,82.029922,0.9993,0.99968,0.999889,0.298189,1
2,Summer,Battery,"кВт·ч",280,280,280,0.9993,0.99968,0.999889,0.55529,0.733696
2,Summer,ElectricMotor,"кВт",101.602592,103.619865,105.662827,0.9993,0.99968,0.999889,0.006281,0.199728
2,Summer,ThermalOrgan,"кВт",51.554646,52.628899,53.707779,0.9993,0.99968,0.999889,0.000025,0
2,Summer,Radiator,"кВт",82.011681,84.665726,87.342705,0.9993,0.99968,0.999889,0.263671,1
2,Summer,GrowthTissue,"кг структуры/сут",3.030851,3.278961,3.377627,0.9993,0.99968,0.999889,0.427688,1
