year,day,elapsed_hours,temperature_c,precipitation_mm_h,surface_water_mm,root_water_mm,groundwater_mm,snow_mm,live_biomass_gm2,dry_biomass_gm2,soil_compaction,dust_gm2,fire_intensity,burn_scar,climate_temperature_offset_c,climate_moisture_multiplier,climate_wind_multiplier,climate_storm_frequency,climate_storm_intensity,climate_phase_shift_days,heatwave,cold_snap,rain_burst,wind_storm
1,15,360,-10.479530334472656,0.028199460357427597,0.011348231695592403,52.568622589111328,30.0946044921875,14.814218521118164,25.263975143432617,23.256313323974609,5.7243854826083407E-05,0.45914721488952637,0,0,-0.73960524797439575,0.94848209619522095,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0
1,30,720,-9.0504159927368164,0.029117116704583168,0.086911901831626892,52.567920684814453,30.095602035522461,20.488653182983398,22.004388809204102,23.912256240844727,0.00010248939361190423,0.30179139971733093,0,0,-0.76327866315841675,0.94324588775634766,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0
1,45,1080,-6.8831348419189453,0.028979001566767693,0.016441786661744118,53.677139282226562,30.095804214477539,25.402843475341797,19.285789489746094,24.095117568969727,0.00014884193660691381,0.29564693570137024,0,0,-0.83640152215957642,0.9311034083366394,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0
1,60,1440,-3.841550350189209,0.021925365552306175,0,58.609840393066406,30.162439346313477,26.091815948486328,17.562923431396484,23.438562393188477,0.00022242468548938632,0.23675306141376495,0,0,-0.94967031478881836,0.91229456663131714,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0
1,75,1800,0.024194557219743729,0.0085215531289577484,0.0015414638910442591,70.566268920898438,33.814781188964844,15.213540077209473,17.079071044921875,21.694948196411133,0.00034478839370422065,0.21383203566074371,0,0,-1.081578254699707,0.89039069414138794,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0
1,90,2160,5.589165210723877,0.0017236256971955299,0.051624804735183716,71.216148376464844,49.737800598144531,0.33044904470443726,17.798301696777344,19.742631912231445,0.00050042959628626704,0.13919450342655182,0,0,-1.2106186151504517,0.86896288394927979,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0
1,105,2520,9.8532915115356445,1.017598515318241E-05,0.022340459749102592,70.337539672851562,51.022418975830078,0,21.070182800292969,17.969682693481445,0.00065410684328526258,0.067825235426425934,0,0,-1.3152846097946167,0.85158252716064453,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0
1,120,2880,14.069717407226562,0,0.020984776318073273,70.247688293457031,50.456806182861328,0,25.833450317382812,16.375993728637695,0.00079905748134478927,0.049249131232500076,0,0,-1.3740696907043457,0.84182101488113403,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0
1,135,3240,17.731113433837891,0,0.017806662246584892,70.011970520019531,49.679462432861328,0,30.418985366821289,15.023787498474121,0.00094616238493472338,0.046796154230833054,0,0,-1.3387799263000488,0.84693354368209839,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0
1,150,3600,20.614170074462891,0,0.013976458460092545,69.63616943359375,48.858531951904297,0,33.236042022705078,14.399137496948242,0.0010942408116534352,0.053000055253505707,0,0,-1.1209973096847534,0.87914001941680908,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0
1,165,3960,22.508098602294922,0,0.011199524626135826,69.176254272460938,48.016262054443359,0,34.723537445068359,14.394264221191406,0.0012371849734336138,0.048129402101039886,0,0,-0.78499734401702881,0.9288288950920105,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0
1,180,4320,23.232421875,0,0.010487469844520092,68.665519714355469,47.1793212890625,0,35.860740661621094,14.598565101623535,0.0013759344583377242,0.023605592548847198,0.00012714097101707011,1.47195851241122E-05,-0.40959161520004272,0.98434531688690186,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0
1,195,4680,27.354837417602539,0,0.0083962911739945412,68.133087158203125,46.371337890625,0,36.864353179931641,14.85826301574707,0.0015151624102145433,0.012696906924247742,0,8.4873609011992812E-05,3.8073453903198242,1.0340341329574585,0.99728578329086304,1.1382597684860229,0.97423553466796875,9.4253749847412109,1,0,0,0
1,210,5040,21.311283111572266,0,0.01127156987786293,67.9976806640625,45.664710998535156,0,37.263088226318359,15.397327423095703,0.0016548616113141179,0.013052732683718204,0,8.2152153481729329E-05,0.99177873134613037,1.0662407875061035,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0
1,225,5400,17.92521858215332,0,0.014651111327111721,67.508804321289062,44.908679962158203,0,41.637645721435547,14.580638885498047,0.0017970283515751362,0.025589292868971825,0,7.9492529039271176E-05,0.18138110637664795,1.0733007192611694,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0
1,240,5760,14.195981979370117,0,0.017276523634791374,67.03802490234375,44.168910980224609,0,47.693138122558594,13.30280590057373,0.0019348216010257602,0.035431314259767532,0,7.6844473369419575E-05,0.14251017570495605,1.0829073190689087,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0
1,255,6120,10.023504257202148,3.7332756619434804E-06,0.020893344655632973,66.65496826171875,43.446922302246094,0,53.00079345703125,12.141447067260742,0.0020712274126708508,0.092673502862453461,0,7.4199939263053238E-05,0.075833678245544434,1.0993858575820923,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0
1,270,6480,4.9381237030029297,9.9913304438814521E-06,0.023722274228930473,66.484619140625,42.747791290283203,0,56.310565948486328,11.072911262512207,0.0022045313380658627,0.17322468757629395,0,7.1583410317543894E-05,-0.0016244649887084961,1.1185290813446045,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0
1,285,6840,0.84626096487045288,1.5749004660392529E-06,0.027750862762331963,66.498359680175781,42.057350158691406,1.2231612345203757E-07,57.037811279296875,10.101856231689453,0.0023389174602925777,0.23910556733608246,0,6.903410394443199E-05,-0.072840571403503418,1.13612961769104,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0
1,300,7200,-2.8370709419250488,0.011177049949765205,0.035869292914867401,66.788124084472656,41.391685485839844,0.024189982563257217,56.57708740234375,9.4470634460449219,0.0024199942126870155,0.32522588968276978,0,6.6576358221936971E-05,-0.12079089879989624,1.1479800939559937,0.99728578329086304,1.1382597684860229,2.0723745822906494,9.4253749847412109,0,0,1,0
1,315,7560,-5.937042236328125,0.004292722325772047,0.03566451370716095,68.172157287597656,41.068450927734375,3.2382969856262207,53.509002685546875,11.361874580383301,0.002424727426841855,0.47259628772735596,0,6.4228297560475767E-05,-0.13927415013313293,1.1480000019073486,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0
1,330,7920,-8.3081884384155273,0.019773988053202629,0.044799171388149261,68.972084045410156,40.591117858886719,4.0369124412536621,47.912227630615234,15.580330848693848,0.0024476137477904558,0.6190345287322998,0,6.2022103520575911E-05,-0.23948147892951965,1.1146963834762573,1.059471607208252,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0
1,345,8280,-9.9163579940795898,0.029235102236270905,0.10056909918785095,68.951866149902344,39.996589660644531,6.6665716171264648,42.134147644042969,19.577566146850586,0.0024721838999539614,0.43617978692054749,0,5.9966201661154628E-05,-0.4086838960647583,1.0584626197814941,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0
1,360,8640,-9.7627620697021484,0.036770541220903397,0.10617382079362869,68.904060363769531,39.401069641113281,9.7488889694213867,37.0670166015625,22.607759475708008,0.0024948690552264452,0.38927978277206421,0,5.8045185141963884E-05,0.26229840517044067,0.85051929950714111,1.0027369260787964,0.97126328945159912,1.0108325481414795,9.8919343948364258,0,0,0,0
1,365,8760,-9.6662130355834961,0.0094045465812087059,0.12230563163757324,68.886428833007812,39.210948944091797,10.894268035888672,35.525920867919922,23.426456451416016,0.002502611605450511,0.07876180112361908,0,5.7431883760727942E-05,0.39197155833244324,0.81466186046600342,1.0037463903427124,0.94033801555633545,1.0475691556930542,9.9783344268798828,0,0,0,0
2,15,9120,-9.3051624298095703,0.010528483428061008,0.17279510200023651,68.83770751953125,38.655845642089844,15.809474945068359,31.277393341064453,25.384256362915039,0.0025260746479034424,0.041384957730770111,0,5.5665463150944561E-05,0.10535813868045807,0.83083754777908325,1.002350926399231,0.98308908939361572,0.99678444862365723,9.8588953018188477,0,0,0,0
2,30,9480,-7.6839237213134766,0.0253740344196558,0.20484960079193115,68.96282958984375,38.123470306396484,18.737207412719727,27.574047088623047,26.663806915283203,0.0025492294225841761,0.043971225619316101,0,5.39992397534661E-05,0.31274113059043884,0.79771524667739868,1.0037463903427124,0.94033801555633545,1.0475691556930542,9.9783344268798828,0,0,0,0
2,45,9840,-5.5148329734802246,0.01489723939448595,0.038083925843238831,70.487350463867188,37.751148223876953,21.516197204589844,24.636375427246094,27.038137435913086,0.0025710489135235548,0.081610389053821564,0,5.2419181884033605E-05,0.21478982269763947,0.80031096935272217,1.0037463903427124,0.94033801555633545,1.0475691556930542,9.9783344268798828,0,0,0,0
