file	phase	waypoint	world_x_m	world_z_m	hour	macro_hour	surface_temp_c	air_temp_c	wind_x_ms	wind_z_ms	humidity_mm	precipitation_mm_h	surface_water_mm	root_water_mm	snow_mm	live_biomass_g_m2	dry_biomass_g_m2	crust_fraction	dust_g_m2	burn_fraction	Elevation	Slope	Aspect	FaultInfluence	RockHardness	DepressionStorage	Drainage	Catchments	SoilDepth	SandFraction	SiltFraction	ClayFraction	Porosity	Permeability	MineralContent	SoilCompaction	SolarRadiation	SurfaceTemperature	SoilTemperature	AirTemperature	Pressure	Wind	Humidity	CloudWater	Precipitation	SurfaceWater	RootWater	Groundwater	Snow	FrozenSoil	LiveBiomass	DryBiomass	LitterBiomass	SeedBank	SoilOrganicMatter	AvailableNitrogen	PlantNitrogen	OrganicNitrogen	FireIntensity	BurnScar	LooseSediment	SurfaceCrust	Dust
waypoint-01-night.png	night	1	32	-64	0.006693	1	-5.326281	-6.118437	5.220511	0.128919	6.909278	0.001078	0	44.571495	5.927392	26.716261	24.164194	0.495856	0	0	437.056976	0.025394	2.058607	0	0.40508	0	0	122	1.565737	0.321519	0.40445	0.27403	0.375767	9.304843	0.402127	0	0	-6.841813	0.724705	-6.564953	956.843323	4.382782	5.026019	1.575395	0.141955	0	44.571495	25.323042	6.067247	0.020085	26.716261	24.164194	53.407108	0.365924	1447.77002	0.627033	0.480893	18.801256	0	0	5.174603	0.495856	0
waypoint-02-night.png	night	2	512.516296	-277.939697	0.006693	1	-6.007516	-6.506272	4.647702	-0.50511	6.646645	0.000693	0	44.465458	6.006673	26.792698	24.269758	0.495416	0	0	445.72934	0.011514	-2.630695	0	0.411627	0	0	122	1.582648	0.327478	0.399071	0.273451	0.375628	9.456434	0.401054	0	0	-6.905633	0.694522	-6.630715	955.53833	4.348424	4.997133	1.583607	0.114381	0	44.465458	25.267483	6.120572	0.023786	26.792698	24.269758	53.580635	0.366945	1452.210449	0.629279	0.482269	18.842293	0	0	5.141867	0.495416	0
waypoint-03-night.png	night	3	1025.47522	-506.323639	0.006693	1	-5.113764	-6.071849	5.508743	-0.085834	6.927949	0.001258	0	45.186226	6.185618	27.185896	24.142582	0.492575	0	0	453.311005	0.028869	0.121674	0	0.424883	0	0	122	1.606092	0.344729	0.385686	0.269585	0.3747	9.905095	0.397949	0	0	-6.870056	0.669764	-6.627522	954.530701	4.422015	5.027681	1.582375	0.152152	0	45.186226	25.677767	6.335308	0.027009	27.185896	24.142582	53.730267	0.367825	1456.039063	0.631215	0.489346	18.871786	0	0	5.075587	0.492575	0
waypoint-04-night.png	night	4	1536.124634	-733.679993	0.006693	1	-5.49509	-6.280191	5.210635	-0.306185	7.018264	0.001091	0	46.659966	6.504607	27.945568	24.000128	0.497153	0	0	467.807037	0.018066	1.392651	0	0.449053	0	0	122	1.656024	0.371611	0.350788	0.277601	0.376624	10.54107	0.39311	0	0	-6.820042	0.622106	-6.622959	952.988892	4.476923	5.111685	1.681829	0.154413	0	46.659966	26.324896	6.656981	0.033173	27.945568	24.000128	54.133823	0.370199	1466.365356	0.636438	0.50302	18.956745	0	0	4.954733	0.497153	0
waypoint-05-night.png	night	5	2047.584106	-961.396301	0.006693	1	-5.701594	-6.38338	4.955283	-0.679013	7.070688	0.001021	0	47.913132	6.704186	28.434631	23.678635	0.495217	0	0	471.371277	0.014241	-1.13284	0	0.452862	0	0	122	1.664097	0.381739	0.34301	0.275251	0.37606	10.804847	0.391287	0	0	-6.706402	0.612196	-6.556217	952.936768	4.339869	5.200128	1.764009	0.164382	0	47.913132	26.957344	6.868088	0.034673	28.434631	23.678635	54.138863	0.370229	1466.494507	0.636503	0.511823	18.949175	0	0	4.935689	0.495217	0
waypoint-06-night.png	night	6	2558.734955	-1188.975433	0.006693	1	-4.960646	-5.934722	5.621861	-0.539126	7.500993	0.001541	0	49.238411	6.798404	28.429838	22.919485	0.490876	0	0	463.138672	0.025331	-0.539981	0	0.430811	0	0	168.608536	1.61831	0.405601	0.325834	0.268565	0.374456	11.431479	0.386992	0	0	-6.50407	0.643378	-6.403946	954.465515	4.171026	5.306257	1.814279	0.206894	0	49.238411	27.688442	7.005033	0.031138	28.429838	22.919485	53.293659	0.365257	1444.867065	0.625565	0.511737	18.742683	0	0	5.045944	0.490876	0
waypoint-07-night.png	night	7	3072.199951	-1417.584961	0.006693	1	-5.160076	-5.992516	5.286607	-0.535591	7.626483	0.00165	0	51.394955	6.992066	28.891998	22.142698	0.491484	0	0	456.225616	0.024913	0.747058	0	0.413263	0	0	170.201202	1.583613	0.412085	0.317821	0.270094	0.374822	11.586715	0.385825	0	0	-6.237526	0.671286	-6.18905	956.08844	4.336101	5.478642	2.018428	0.266594	0	51.394955	28.753109	7.257614	0.028154	28.891998	22.142698	52.774033	0.3622	1431.570801	0.61884	0.520056	18.607361	0	0	5.133687	0.491484	0
waypoint-08-night.png	night	8	3584.729858	-1645.777954	0.006693	1	-5.293587	-6.094452	5.035315	-1.17243	7.326605	0.001726	0	50.840424	6.869553	28.59943	22.302475	0.497439	0	0	453.044586	0.039729	1.092414	0	0.4132	0	0	172	1.579589	0.410654	0.310466	0.27888	0.376931	11.511398	0.386082	0.000001	0	-6.292099	0.680966	-6.205503	957.603027	4.203324	5.422441	1.89983	0.281186	0	50.840424	28.423853	7.150018	0.026808	28.594582	22.300993	52.736851	0.361974	1430.571411	0.618335	0.514702	18.603167	0	0	5.134003	0.49742	0
waypoint-09-night.png	night	9	4095.326416	-1873.110229	0.006693	1	-5.155457	-5.99451	5.240396	-0.964311	7.434614	0.001598	0.029116	50.698345	6.850427	28.77272	22.586468	0.50307	0	0	454.836945	0.033736	1.212671	0	0.420595	1.465618	0	172	1.596084	0.38747	0.324764	0.287766	0.379064	10.891815	0.390255	0	0	-6.333115	0.674232	-6.239605	958.731323	4.211072	5.374211	1.85721	0.246816	0	50.727463	28.368279	7.09522	0.027577	28.77272	22.586468	53.177876	0.364576	1441.904419	0.624067	0.517909	18.708212	0	0	5.097024	0.50307	0
waypoint-09-day.png	day	9	4095.326416	-1873.110229	12.003752	13	-8.124766	-8.409562	-0.390596	-2.486301	3.326156	0.107581	0	50.772018	9.485344	28.762753	22.525589	0.501315	0	0	454.836945	0.033736	1.212671	0	0.420595	1.465618	0	172	1.596084	0.38747	0.324764	0.287766	0.379064	10.891815	0.390255	0	58.691189	-7.944683	-1.230659	-8.61974	955.175659	2.314457	3.243681	1.528063	0.081549	0	50.798134	28.398329	9.540276	0.133985	28.762753	22.525589	53.248695	0.364508	1441.904419	0.624067	0.51773	18.708393	0	0	5.097024	0.501315	0
