year,day,elapsed_hours,region_x,region_y,temperature_c,snow_mm,surface_water_mean_mm,surface_water_max_mm,flooded_fraction,root_water_mm,water_stress_fraction,live_biomass_gm2,dust_gm2,burning_fraction,burn_scar
1,10,240,0,0,-10.562002182006836,25.053684234619141,0.00096686871256679296,0.012145847082138062,0,55.991748809814453,0,28.909265518188477,0.023499192669987679,0,0
1,10,240,1,0,-10.600695610046387,17.776039123535156,6.3380459323525429E-05,0.0022311713546514511,0,55.752391815185547,0,29.286552429199219,0.063119634985923767,0,0
1,10,240,2,0,-10.437125205993652,16.758668899536133,0.00029673072276636958,0.0046484917402267456,0,54.950370788574219,0,29.212673187255859,0.032685954123735428,0,0
1,10,240,3,0,-10.277945518493652,17.17414665222168,8.4469764260575175E-05,0.0030219946056604385,0,58.669418334960938,0,30.05891227722168,0.021983813494443893,0,0
1,10,240,4,0,-10.323763847351074,17.032024383544922,0.00036200319300405681,0.0064542293548583984,0,58.929645538330078,0,30.181827545166016,0.047850526869297028,0,0
1,10,240,5,0,-10.197737693786621,15.468677520751953,0.0067736967466771603,0.041584528982639313,0,53.955081939697266,0,28.188089370727539,0.015300514176487923,0,0
1,10,240,6,0,-10.163063049316406,13.770308494567871,0.01251541543751955,0.038546808063983917,0,51.138904571533203,0,26.527099609375,0.030546246096491814,0,0
1,10,240,7,0,-10.019025802612305,14.545486450195312,0.0064767161384224892,0.025931946933269501,0,52.797454833984375,0,25.556499481201172,0.011465367861092091,0,0
1,10,240,0,1,-10.723540306091309,25.544692993164062,0.0018954779952764511,0.011134127154946327,0,51.6151123046875,0,27.196041107177734,0.060417544096708298,0,0
1,10,240,1,1,-10.952685356140137,11.434808731079102,8.3617604104802012E-05,0.0041852779686450958,0,54.175102233886719,0,27.699678421020508,0.36303529143333435,0,0
1,10,240,2,1,-11.012032508850098,11.972126960754395,0.00018532239482738078,0.0055205561220645905,0,51.40789794921875,0,27.668037414550781,0.58178025484085083,0,0
1,10,240,3,1,-10.89212703704834,11.260769844055176,0.0013077112380415201,0.010749004781246185,0,54.649105072021484,0,28.618711471557617,0.41846573352813721,0,0
1,10,240,4,1,-10.896929740905762,10.847373962402344,0.0081110820174217224,0.035018593072891235,0,55.791027069091797,0,27.234218597412109,0.3051622211933136,0,0
1,10,240,5,1,-11.068907737731934,12.954257011413574,0.0060749021358788013,0.029183054342865944,0,56.292320251464844,0,26.382221221923828,0.29108661413192749,0,0
1,10,240,6,1,-10.970139503479004,11.465244293212891,0.0094036106020212173,0.032682202756404877,0,54.858196258544922,0,25.901256561279297,0.12097608298063278,0,0
1,10,240,7,1,-10.416637420654297,15.995172500610352,0.00023130932822823524,0.014309383928775787,0,54.761791229248047,0,26.979747772216797,0.028864944353699684,0,0
1,10,240,0,2,-10.661765098571777,29.135879516601562,0.0070347054861485958,0.039025783538818359,0,49.592350006103516,0,26.675481796264648,0.05352599173784256,0,0
1,10,240,1,2,-11.037406921386719,10.744726181030273,0.00672126654535532,0.047295212745666504,0,51.333827972412109,0,25.687149047851562,0.35429450869560242,0,0
1,10,240,2,2,-11.287235260009766,12.594589233398438,0.0067106331698596478,0.036009084433317184,0,51.203033447265625,0,25.25922966003418,0.60813146829605103,0,0
1,10,240,3,2,-11.404622077941895,12.729448318481445,0.006872422993183136,0.034824259579181671,0,54.205890655517578,0,25.691802978515625,0.29861238598823547,0,0
1,10,240,4,2,-11.246333122253418,11.447585105895996,0.0011592907831072807,0.019020214676856995,0,55.112796783447266,0,26.398551940917969,0.13866689801216125,0,0
1,10,240,5,2,-10.860027313232422,9.9311952590942383,0.0052064391784369946,0.029046205803751945,0,54.030933380126953,0,27.72760009765625,0.15110364556312561,0,0
1,10,240,6,2,-10.830190658569336,9.322871208190918,0.0073473993688821793,0.026704605668783188,0,52.077312469482422,0,27.565057754516602,0.24207891523838043,0,0
1,10,240,7,2,-10.495563507080078,17.442216873168945,0,0,0,56.701171875,0,29.286739349365234,0.12212990969419479,0,0
1,10,240,0,3,-10.844865798950195,31.513856887817383,0.011715395376086235,0.04887726902961731,0,49.030826568603516,0,24.371936798095703,0.025639466941356659,0,0
1,10,240,1,3,-10.986354827880859,10.070461273193359,0.0016823811456561089,0.015770092606544495,0,53.237995147705078,0,26.04542350769043,0.12572431564331055,0,0
1,10,240,2,3,-10.863587379455566,12.219247817993164,0.00048170270747505128,0.012639675289392471,0,56.319038391113281,0,29.165964126586914,0.34255290031433105,0,0
