year,day,elapsed_hours,temperature_c,precipitation_mm_h,surface_water_mm,root_water_mm,groundwater_mm,snow_mm,live_biomass_gm2,dry_biomass_gm2,soil_compaction,dust_gm2,climate_temperature_offset_c,climate_moisture_multiplier,climate_wind_multiplier,climate_storm_frequency,climate_storm_intensity,climate_phase_shift_days,heatwave,cold_snap,rain_burst,wind_storm
1,15,360,-10.467443466186523,0.035620518028736115,0.017334682866930962,52.516311645507812,29.93182373046875,20.746477127075195,24.295589447021484,22.624790191650391,0.00021533826657105237,0.033345803618431091,-0.73960524797439575,0.94848209619522095,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0
1,30,720,-9.0397872924804688,0.040066469460725784,0.1153697669506073,52.515594482421875,29.93303108215332,33.681427001953125,21.074350357055664,22.952863693237305,0.00038882895023562014,0.024790775030851364,-0.76327866315841675,0.94324588775634766,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0
1,45,1080,-6.885350227355957,0.038145817816257477,0.019743490964174271,53.539115905761719,29.934452056884766,46.311023712158203,18.54149055480957,23.046895980834961,0.00056814326671883464,0.046680852770805359,-0.83640152215957642,0.9311034083366394,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0
1,60,1440,-3.9612159729003906,0.03558548167347908,0.00021265550458338112,57.464412689208984,29.99711799621582,54.698699951171875,16.858448028564453,22.403478622436523,0.00084029929712414742,0.048035286366939545,-0.94967031478881836,0.91229456663131714,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0
1,75,1800,-0.19193762540817261,0.02801547572016716,0.0041836253367364407,72.24530029296875,34.433753967285156,45.371120452880859,16.280788421630859,20.795804977416992,0.0012962545733898878,0.021095670759677887,-1.081578254699707,0.89039069414138794,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0
1,90,2160,5.4844117164611816,0.0043932166881859303,0.23380403220653534,79.46844482421875,59.528877258300781,8.3105897903442383,16.907133102416992,18.958375930786133,0.0018656859174370766,0.015316907316446304,-1.2106186151504517,0.86896288394927979,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0
1,105,2520,9.9448347091674805,3.280576038378058E-06,0.068565346300601959,77.780609130859375,61.414543151855469,0,20.039943695068359,17.27452278137207,0.0024323267862200737,0.02221047505736351,-1.3152846097946167,0.85158252716064453,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0
1,120,2880,14.170055389404297,0,0.059183511883020401,77.586639404296875,59.857585906982422,0,24.591009140014648,15.751200675964355,0.0029935417696833611,0.013645575381815434,-1.3740696907043457,0.84182101488113403,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0
1,135,3240,17.828363418579102,0,0.048519011586904526,77.229469299316406,58.162994384765625,0,29.070981979370117,14.457180976867676,0.00354948197491467,0.0026882954407483339,-1.3387799263000488,0.84693354368209839,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0
1,150,3600,20.689542770385742,0,0.038440898060798645,76.7156982421875,56.513114929199219,0,32.072006225585938,13.818181037902832,0.0041002286598086357,0.00514631113037467,-1.1209973096847534,0.87914001941680908,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0
1,165,3960,22.579385757446289,0,0.031626380980014801,76.058250427246094,54.987850189208984,0,33.81951904296875,13.78292179107666,0.0046458733268082142,0.0041425237432122231,-0.78499734401702881,0.9288288950920105,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0
